side,cone_id,x,y
L,3,3.420106,1.383103
L,0,7.072218,1.388843
L,6,10.825541,1.381601
L,4,14.972474,1.387143
L,17,18.055885,2.236779
L,46,20.748074,4.199523
L,42,23.373472,6.158617
L,33,27.192125,7.809592
L,44,30.539486,9.899972
L,45,33.889629,12.123831
L,59,36.504082,14.864758
L,58,38.477306,18.190388
L,65,39.353779,21.675421
L,71,38.684494,25.232803
L,91,37.954830,28.935520
L,100,37.405983,32.975266
L,130,36.800865,37.338989
L,132,36.608845,41.226555
L,146,37.054432,44.335884
L,133,37.890408,47.590954
L,148,37.766186,50.172291
L,154,36.165348,53.573441
L,168,34.175091,57.187721
L,185,32.586777,60.898731
L,173,31.561928,64.758415
L,176,32.015259,67.871597
L,184,33.984451,70.440117
L,160,36.935837,71.383896
L,162,40.554928,72.134308
L,181,44.470966,70.774033
L,183,46.516899,68.107086
L,182,47.548054,64.534828
L,179,47.968452,60.699200
L,178,48.568577,57.144054
L,174,49.082619,53.872967
L,172,49.325031,50.318890
L,169,49.750069,46.452713
L,166,49.343723,42.480083
L,157,48.685898,38.860462
L,147,48.803993,35.519524
L,144,49.636723,31.928513
L,140,50.921478,27.513872
L,113,52.322121,23.285585
L,78,53.927773,18.960707
L,108,56.354301,15.082349
L,97,59.364372,11.796363
L,110,62.426807,9.773270
L,112,66.575012,7.988817
L,117,70.736740,6.570692
L,106,75.541733,5.364249
L,99,80.308022,4.991179
L,122,84.682533,4.728038
L,101,89.125938,3.747625
L,114,93.458885,2.616663
L,230,97.101990,2.230168
L,135,101.228378,2.356349
L,156,105.217880,2.637926
L,141,108.331802,2.594006
L,145,111.179634,0.724778
L,229,112.927849,-2.202492
L,241,112.518646,-5.632282
L,239,110.323631,-8.099783
L,240,106.045685,-8.700938
L,236,101.906212,-8.769965
L,237,98.087250,-8.773766
L,234,94.589111,-8.588968
L,231,90.638527,-8.533214
L,155,86.156319,-8.232447
L,150,81.583221,-7.810895
L,134,77.298958,-7.216928
L,84,73.460312,-6.541039
L,115,68.972519,-5.832725
L,52,65.015266,-5.345504
L,60,61.266682,-4.665447
L,57,57.674671,-4.020236
L,28,53.600410,-3.390498
L,31,49.127872,-2.472605
L,30,45.317886,-1.353703
L,34,41.779392,-0.212814
L,29,38.887608,-1.082173
L,25,36.650986,-3.406273
L,63,34.518700,-6.239903
L,24,31.334389,-8.510308
L,18,27.268843,-9.509368
L,5,23.223902,-10.085166
L,1,18.455957,-10.049714
L,8,14.622385,-9.934829
L,13,10.501062,-9.758467
L,14,7.061874,-10.308538
L,270,3.974808,-11.029888
L,268,0.044081,-11.219122
L,262,-3.144421,-9.287773
L,261,-4.514090,-7.223272
L,258,-4.775939,-3.831195
L,263,-3.179718,-0.429674
L,259,0.262797,1.388036
L,3,3.420106,1.383103
R,15,4.458716,-1.827294
R,16,7.205802,-1.837214
R,2,11.305257,-1.822742
R,12,15.000691,-1.814706
R,20,19.189955,-0.709061
R,23,22.663658,1.745815
R,21,24.759634,3.421010
R,26,28.255503,4.994843
R,32,31.806522,6.677247
R,47,34.782005,8.682572
R,35,37.585537,11.283455
R,37,39.686165,13.983672
R,67,41.308094,16.904964
R,69,42.255123,20.394342
R,85,42.104000,24.908388
R,72,41.372349,28.481918
R,120,40.522362,32.980156
R,123,39.956673,37.077709
R,131,39.850060,41.072285
R,129,40.120033,43.929558
R,142,41.024284,46.779663
R,137,41.238422,49.933907
R,143,39.888710,53.795589
R,152,38.180153,56.760960
R,149,36.387085,60.314384
R,167,35.360664,63.539181
R,170,35.394165,66.355194
R,164,37.761646,68.101151
R,165,41.323814,68.233391
R,171,43.893738,66.137329
R,175,44.699284,61.753132
R,177,45.285442,57.737919
R,158,45.907299,53.621796
R,153,46.197136,49.584137
R,151,46.470078,45.952293
R,124,46.145058,42.093498
R,121,45.586060,38.819565
R,118,45.446033,35.490280
R,119,45.980515,32.375160
R,96,47.200649,28.198593
R,107,48.327141,24.598614
R,87,49.699299,20.888699
R,77,51.182392,17.306377
R,102,53.086937,14.021956
R,76,55.317497,11.082245
R,83,57.928360,8.752713
R,92,61.150501,6.521872
R,75,64.469467,5.023711
R,73,67.913734,3.896619
R,95,70.799675,3.096709
R,82,74.698410,2.267260
R,111,79.465439,1.707711
R,105,84.064377,1.497419
R,116,88.724823,0.477675
R,126,92.894989,-0.776808
R,109,97.351219,-1.098899
R,128,101.893105,-0.851705
R,138,105.570282,-0.662281
R,161,108.316704,-1.532105
R,136,108.819138,-3.889274
R,238,106.594246,-5.519121
R,235,103.386223,-5.584034
R,139,98.688690,-5.540771
R,125,94.188843,-5.260024
R,127,89.414246,-5.154872
R,104,84.640678,-4.761465
R,94,79.942703,-4.097055
R,81,75.101501,-3.523633
R,64,71.102539,-3.032246
R,50,67.114891,-2.263118
R,51,63.129448,-1.558480
R,56,59.311836,-0.865811
R,48,55.464794,-0.197860
R,38,52.074673,0.357959
R,41,48.695904,1.057042
R,49,45.396927,1.839260
R,40,41.123798,2.841896
R,43,37.154179,2.139593
R,39,34.167603,-0.545184
R,27,32.502239,-3.356872
R,36,30.044008,-5.433015
R,22,27.180922,-6.205937
R,9,23.186125,-6.726283
R,19,18.910221,-6.784840
R,7,14.627061,-6.624031
R,10,9.634777,-6.486931
R,11,5.348785,-7.310311
R,269,2.526199,-7.860336
R,267,0.017354,-7.368093
R,264,-1.009281,-5.752614
R,260,-0.579705,-3.448820
R,265,1.304508,-1.771257
R,15,4.458716,-1.827294
M,-1,3.937506,-0.221872
M,-1,5.765386,-0.219973
M,-1,7.142234,-0.223288
M,-1,9.021082,-0.228774
M,-1,11.070263,-0.221030
M,-1,13.141544,-0.214017
M,-1,14.989809,-0.213531
M,-1,17.082420,0.341989
M,-1,18.623882,0.763381
M,-1,20.358892,1.991824
M,-1,21.704506,2.972837
M,-1,22.750740,3.811644
M,-1,24.054564,4.793459
M,-1,25.797285,5.584931
M,-1,27.709764,6.417178
M,-1,29.494579,7.247456
