side,cone_id,x,y
L,0,-1.900000,-0.000000
L,1,-1.324838,4.437788
L,2,-0.156810,8.449323
L,3,0.917376,12.183474
L,4,1.355210,15.742330
L,5,0.781804,19.126834
L,6,-0.757888,22.319437
L,7,-2.982783,24.792218
L,8,-5.216404,25.337656
L,9,-7.989747,23.748517
L,10,-10.838655,21.156459
L,11,-13.760101,18.315388
L,12,-16.984195,15.553456
L,13,-20.727140,13.246279
L,14,-24.890274,11.721634
L,15,-29.362483,11.172393
L,16,-33.950722,11.943903
L,17,-37.997149,14.264120
L,18,-41.095909,17.373485
L,19,-43.653481,20.657451
L,20,-46.046096,23.883694
L,21,-48.503175,26.930548
L,22,-51.166720,29.707627
L,23,-54.086962,32.155388
L,24,-57.231812,34.102627
L,25,-60.447484,35.145503
L,26,-63.123888,34.653842
L,27,-65.254014,32.365254
L,28,-66.739945,29.106284
L,29,-67.580045,25.506788
L,30,-67.751439,21.842361
L,31,-67.223752,18.173808
L,32,-66.148257,14.484144
L,33,-64.798590,10.711251
L,34,-63.488574,6.769078
L,35,-62.519380,2.620882
L,36,-62.089457,-1.662542
L,37,-62.371323,-6.056925
L,38,-63.800654,-10.455529
L,39,-66.951324,-14.119812
L,40,-70.794021,-16.331977
L,41,-74.525355,-17.967971
L,42,-77.894092,-19.682528
L,43,-80.559673,-21.875435
L,44,-82.284497,-24.771490
L,45,-82.949447,-28.038627
L,46,-82.229483,-30.931612
L,47,-79.971391,-33.452819
L,48,-76.871092,-35.822350
L,49,-73.543471,-38.510162
L,50,-70.741009,-42.287875
L,51,-69.418215,-46.644260
L,52,-68.991697,-50.884471
L,53,-68.828650,-54.935531
L,54,-68.532527,-58.818931
L,55,-67.813981,-62.461911
L,56,-66.378663,-65.551120
L,57,-63.988810,-67.711604
L,58,-60.747800,-69.026998
L,59,-57.141306,-69.578010
L,60,-53.467468,-69.430598
L,61,-49.810917,-68.622754
L,62,-46.130116,-67.347404
L,63,-42.343598,-65.893168
L,64,-38.362512,-64.575203
L,65,-34.192443,-63.657563
L,66,-29.839196,-63.349680
L,67,-25.383260,-63.970414
L,68,-21.248069,-65.729342
L,69,-17.709647,-67.973222
L,70,-14.420499,-70.083265
L,71,-11.137464,-71.569336
L,72,-7.761800,-72.019929
L,73,-4.346879,-71.415704
L,74,-1.435829,-69.844945
L,75,0.365745,-67.315714
L,76,1.260581,-63.857061
L,77,1.703793,-59.952734
L,78,2.227748,-55.791205
L,79,3.518714,-51.483462
L,80,5.934620,-47.645260
L,81,9.104802,-44.565190
L,82,12.645128,-42.132667
L,83,16.349015,-40.146130
L,84,20.067790,-38.431560
L,85,23.645195,-36.750137
L,86,26.817193,-34.849616
L,87,28.675868,-32.663198
L,88,28.372494,-30.062445
L,89,26.544188,-27.081398
L,90,23.987097,-24.389995
L,91,21.017556,-22.127218
L,92,17.693903,-20.317080
L,93,14.078758,-18.791753
L,94,10.269162,-17.244241
L,95,6.427578,-15.224487
L,96,2.970708,-12.302259
L,97,0.397380,-8.631453
L,98,-1.270058,-4.492907
M,0,0.000000,0.000000
M,1,0.523308,3.996930
M,2,1.654254,7.874827
M,3,2.768944,11.757216
M,4,3.255139,15.758762
M,5,2.584887,19.725909
M,6,0.834696,23.355622
M,7,-1.867368,26.330349
M,8,-5.672676,27.182057
M,9,-9.176591,25.232229
M,10,-12.165735,22.516187
M,11,-15.062076,19.699173
M,12,-18.127943,17.070638
M,13,-21.561700,14.953179
M,14,-25.348387,13.565578
M,15,-29.347933,13.072337
M,16,-33.314819,13.734329
M,17,-36.799755,15.739331
M,18,-39.644766,18.599937
M,19,-42.126196,21.787672
M,20,-44.533054,25.032913
M,21,-47.069308,28.177154
M,22,-49.865073,31.091720
M,23,-52.960157,33.685195
M,24,-56.392385,35.807139
M,25,-60.222645,37.032153
M,26,-64.112596,36.276327
M,27,-66.866890,33.369559
M,28,-68.543584,29.703683
M,29,-69.461126,25.774251
M,30,-69.648921,21.744584
M,31,-69.075927,17.750193
M,32,-67.947136,13.872560
M,33,-66.586475,10.068237
M,34,-65.311909,6.234803
M,35,-64.392564,2.302793
M,36,-63.988759,-1.714053
M,37,-64.244707,-5.740018
M,38,-65.481069,-9.568848
M,39,-68.096042,-12.603362
M,40,-71.594823,-14.608981
M,41,-75.295257,-16.230948
M,42,-78.891654,-18.065472
M,43,-81.994059,-20.629427
M,44,-84.054944,-24.081911
M,45,-84.849368,-28.021331
M,46,-83.870777,-31.888772
M,47,-81.204090,-34.898659
M,48,-77.996114,-37.353469
M,49,-74.852476,-39.887299
M,50,-72.454365,-43.109099
M,51,-71.290986,-46.964770
M,52,-70.889152,-50.982791
M,53,-70.726776,-55.019901
M,54,-70.418720,-59.047568
M,55,-69.634355,-63.006190
M,56,-67.929112,-66.649350
M,57,-64.960085,-69.344584
M,58,-61.230603,-70.864633
M,59,-57.243548,-71.475257
M,60,-53.212398,-71.313399
M,61,-49.270689,-70.444334
M,62,-45.453548,-69.122863
M,63,-41.681816,-67.674192
M,64,-37.847460,-66.404061
M,65,-33.904062,-65.535550
M,66,-29.878859,-65.249266
M,67,-25.886915,-65.802443
M,68,-22.180584,-67.384762
M,69,-18.770374,-69.549565
M,70,-15.369416,-71.729338
M,71,-11.693807,-73.386059
M,72,-7.707396,-73.919150
M,73,-3.743049,-73.217200
M,74,-0.213350,-71.299436
M,75,2.118602,-68.048852
M,76,3.137972,-64.149295
M,77,3.594990,-60.135426
M,78,4.097735,-56.127583
M,79,5.249978,-52.266229
M,80,7.397239,-48.858003
M,81,10.291612,-46.048930
M,82,13.619825,-43.763608
M,83,17.179584,-41.854976
M,84,20.848798,-40.163618
M,85,24.504863,-38.444531
M,86,27.963077,-36.365184
M,87,30.474352,-33.275941
M,88,30.129438,-29.339157
M,89,28.032622,-25.900481
M,90,25.253870,-22.973913
M,91,22.043361,-20.527929
M,92,18.498337,-18.595777
M,93,14.776660,-17.024571
M,94,11.033318,-15.504682
M,95,7.459539,-13.629164
M,96,4.381819,-11.029952
M,97,2.069098,-7.728480
M,98,0.561895,-3.988973
R,0,1.900000,0.000000
R,1,2.371454,3.556071
R,2,3.465319,7.300332
R,3,4.620512,11.330958
R,4,5.155068,15.775195
R,5,4.387971,20.324984
R,6,2.427279,24.391807
R,7,-0.751952,27.868481
R,8,-6.128948,29.026459
R,9,-10.363434,26.715941
R,10,-13.492815,23.875914
R,11,-16.364051,21.082958
R,12,-19.271692,18.587819
R,13,-22.396260,16.660080
R,14,-25.806500,15.409523
R,15,-29.333382,14.972282
R,16,-32.678917,15.524756
R,17,-35.602362,17.214542
R,18,-38.193623,19.826388
R,19,-40.598910,22.917893
R,20,-43.020013,26.182132
R,21,-45.635442,29.423761
R,22,-48.563425,32.475813
R,23,-51.833351,35.215002
R,24,-55.552958,37.511651
R,25,-59.997806,38.918803
R,26,-65.101305,37.898811
R,27,-68.479767,34.373864
R,28,-70.347224,30.301082
R,29,-71.342206,26.041715
R,30,-71.546404,21.646806
R,31,-70.928101,17.326577
R,32,-69.746014,13.260976
R,33,-68.374360,9.425224
R,34,-67.135244,5.700528
R,35,-66.265748,1.984705
R,36,-65.888060,-1.765563
R,37,-66.118092,-5.423111
R,38,-67.161485,-8.682167
R,39,-69.240760,-11.086913
R,40,-72.395624,-12.885985
R,41,-76.065160,-14.493924
R,42,-79.889217,-16.448416
R,43,-83.428446,-19.383419
R,44,-85.825390,-23.392332
R,45,-86.749289,-28.004035
R,46,-85.512070,-32.845932
R,47,-82.436788,-36.344499
R,48,-79.121136,-38.884589
R,49,-76.161482,-41.264435
R,50,-74.167722,-43.930323
R,51,-73.163758,-47.285281
R,52,-72.786606,-51.081111
R,53,-72.624902,-55.104272
R,54,-72.304914,-59.276205
R,55,-71.454729,-63.550468
R,56,-69.479560,-67.747580
R,57,-65.931361,-70.977563
R,58,-61.713406,-72.702268
R,59,-57.345789,-73.372504
R,60,-52.957328,-73.196200
R,61,-48.730461,-72.265914
R,62,-44.776981,-70.898323
R,63,-41.020034,-69.455215
R,64,-37.332408,-68.232919
R,65,-33.615681,-67.413538
R,66,-29.918522,-67.148852
R,67,-26.390570,-67.634473
R,68,-23.113099,-69.040182
R,69,-19.831101,-71.125908
R,70,-16.318334,-73.375410
R,71,-12.250150,-75.202782
R,72,-7.652993,-75.818371
R,73,-3.139220,-75.018697
R,74,1.009129,-72.753927
R,75,3.871459,-68.781991
R,76,5.015364,-64.441529
R,77,5.486186,-60.318119
R,78,5.967721,-56.463960
R,79,6.981242,-53.048997
