side,cone_id,x,y
L,0,-1.750000,0.000000
L,1,-2.196564,3.579556
L,2,-3.488390,7.006196
L,3,-5.511505,10.097658
L,4,-8.133957,12.743311
L,5,-11.221893,14.875759
L,6,-14.649612,16.461095
L,7,-18.304310,17.489124
L,8,-22.087038,17.965196
L,9,-25.911470,17.904249
L,10,-29.701696,17.326983
L,11,-33.389864,16.257763
L,12,-36.914102,14.723779
L,13,-40.216929,12.755041
L,14,-43.244200,10.384877
L,15,-45.944605,7.650691
L,16,-48.269624,4.594809
L,17,-50.173957,1.265304
L,18,-51.616351,-2.283313
L,19,-52.560798,-5.989609
L,20,-52.978082,-9.785054
L,21,-52.847580,-13.594272
L,22,-52.159259,-17.335796
L,23,-50.915696,-20.923449
L,24,-49.133949,-24.268390
L,25,-46.847044,-27.281818
L,26,-44.104848,-29.878216
L,27,-40.974130,-31.978961
L,28,-37.537724,-33.515982
L,29,-33.892812,-34.435188
L,30,-30.148514,-34.699392
L,31,-26.423092,-34.290580
L,32,-22.841111,-33.211592
L,33,-19.530902,-31.487446
L,34,-16.622529,-29.166850
L,35,-14.246093,-26.324645
L,36,-12.528787,-23.065722
L,37,-11.581205,-19.523723
L,38,-10.460297,-16.465400
L,39,-7.834315,-12.120596
L,40,-5.898100,-9.576210
L,41,-3.629726,-6.858309
L,42,-2.223641,-3.585204
M,0,0.000000,0.000000
M,1,-0.498753,4.003746
M,2,-1.930394,7.803159
M,3,-4.153964,11.202006
M,4,-7.013744,14.087790
M,5,-10.357418,16.397331
M,6,-14.046376,18.103838
M,7,-17.959613,19.204841
M,8,-21.993416,19.712690
M,9,-26.058902,19.648027
M,10,-30.078818,19.035866
M,11,-33.984461,17.903654
M,12,-37.713136,16.280714
M,13,-41.206287,14.198533
M,14,-44.408299,11.691543
M,15,-47.265930,8.798122
M,16,-49.728277,5.561675
M,17,-51.747242,2.031642
M,18,-53.278435,-1.735612
M,19,-54.282496,-5.676150
M,20,-54.726802,-9.718132
M,21,-54.587488,-13.781938
M,22,-53.851719,-17.780856
M,23,-52.520025,-21.622468
M,24,-50.608517,-25.210806
M,25,-48.150694,-28.449293
M,26,-45.198556,-31.244343
M,27,-41.822798,-33.509406
M,28,-38.111915,-35.169101
M,29,-34.170287,-36.163050
M,30,-30.115436,-36.449079
M,31,-26.074861,-36.005583
M,32,-22.182891,-34.833087
M,33,-18.578032,-32.955281
M,34,-15.401136,-30.420126
M,35,-12.794461,-27.302021
M,36,-10.900384,-23.706660
M,37,-9.850220,-19.780999
M,38,-8.724312,-16.686431
M,39,-6.797464,-13.530361
M,40,-4.733632,-10.882546
M,41,-2.136500,-7.770875
M,42,-0.535265,-4.045513
R,0,1.750000,-0.000000
R,1,1.199059,4.427935
R,2,-0.372399,8.600122
R,3,-2.796423,12.306353
R,4,-5.893532,15.432270
R,5,-9.492943,17.918904
R,6,-13.443140,19.746582
R,7,-17.614916,20.920558
R,8,-21.899794,21.460184
R,9,-26.206335,21.391806
R,10,-30.455940,20.744748
R,11,-34.579057,19.549544
R,12,-38.512169,17.837649
R,13,-42.195646,15.642025
R,14,-45.572398,12.998208
R,15,-48.587256,9.945554
R,16,-51.186931,6.528541
R,17,-53.320527,2.797980
R,18,-54.940519,-1.187912
R,19,-56.004194,-5.362692
R,20,-56.475522,-9.651211
R,21,-56.327397,-13.969605
R,22,-55.544179,-18.225917
R,23,-54.124354,-22.321487
R,24,-52.083086,-26.153222
R,25,-49.454343,-29.616768
R,26,-46.292265,-32.610469
R,27,-42.671466,-35.039852
R,28,-38.686106,-36.822221
R,29,-34.447762,-37.890912
R,30,-30.082358,-38.198766
R,31,-25.726629,-37.720586
R,32,-21.524671,-36.454582
R,33,-17.625162,-34.423115
R,34,-14.179744,-31.673402
R,35,-11.342828,-28.279397
R,36,-9.271980,-24.347598
R,37,-8.119234,-20.038275
R,38,-6.988327,-16.907462
R,39,-5.760613,-14.940127
R,40,-3.569164,-12.188881
R,41,-0.643275,-8.683442
R,42,1.153112,-4.505823
