boundary,x,y,index
left,-1.750000,0.000000,0
left,-2.078750,3.825195,1
left,-3.100096,7.486080,2
left,-4.889200,10.655295,3
left,-7.414445,12.662771,4
left,-10.194078,12.670620,5
left,-12.722002,10.676743,6
left,-14.516586,7.515349,7
left,-15.543799,3.858310,8
left,-15.878388,0.017141,9
left,-15.549644,-3.825195,10
left,-14.528298,-7.486080,11
left,-12.739194,-10.655295,12
left,-10.213949,-12.662771,13
left,-7.434316,-12.670620,14
left,-4.906392,-10.676743,15
left,-3.111809,-7.515349,16
left,-2.084595,-3.858310,17
middle,0.000000,0.000000,0
middle,-0.355146,4.127997,1
middle,-1.474703,8.134612,2
middle,-3.522119,11.747810,3
middle,-6.767472,14.288786,4
middle,-10.832975,14.299826,5
middle,-14.085863,11.773277,6
middle,-16.140688,8.167110,7
middle,-17.266913,4.163886,8
middle,-17.628387,0.018460,9
middle,-17.273248,-4.127997,10
middle,-16.153692,-8.134612,11
middle,-14.106275,-11.747810,12
middle,-10.860922,-14.288786,13
middle,-6.795419,-14.299826,14
middle,-3.542532,-11.773277,15
middle,-1.487707,-8.167110,16
middle,-0.361481,-4.163886,17
right,1.750000,-0.000000,0
right,1.368458,4.430798,1
right,0.150691,8.783145,2
right,-2.155038,12.840326,3
right,-6.120499,15.914801,4
right,-11.471873,15.929031,5
right,-15.449723,12.869810,6
right,-17.764790,8.818871,7
right,-18.990028,4.469462,8
right,-19.378387,0.019780,9
right,-18.996852,-4.430798,10
right,-17.779086,-8.783145,11
right,-15.473356,-12.840326,12
right,-11.507895,-15.914801,13
right,-6.156521,-15.929031,14
right,-2.178672,-12.869810,15
right,0.136396,-8.818871,16
right,1.361633,-4.469462,17
