side,cone_id,x,y
L,0,-1.900000,0.000000
L,1,-1.812173,4.038967
L,2,-1.919174,7.785222
L,3,-2.777168,10.980159
L,4,-4.806743,13.399347
L,5,-7.769695,15.085805
L,6,-11.095552,15.849714
L,7,-14.545624,15.550241
L,8,-18.269415,14.547263
L,9,-22.391864,13.560655
L,10,-26.787715,13.362240
L,11,-31.086534,14.033818
L,12,-35.182788,15.478793
L,13,-38.930309,17.639630
L,14,-42.234223,20.235367
L,15,-45.245626,22.960653
L,16,-48.167818,25.599818
L,17,-51.165191,27.998373
L,18,-54.342334,30.055543
L,19,-57.693960,31.668234
L,20,-61.131631,32.616391
L,21,-64.389854,32.539030
L,22,-67.176218,31.116709
L,23,-69.521398,28.560074
L,24,-71.368764,25.389067
L,25,-72.769695,21.903471
L,26,-73.768934,18.236744
L,27,-74.474412,14.415447
L,28,-75.077058,10.462777
L,29,-75.839849,6.399471
L,30,-77.090431,2.309229
L,31,-78.964969,-1.541406
L,32,-81.314062,-5.055474
L,33,-83.984541,-8.259623
L,34,-86.863290,-11.212749
L,35,-89.792163,-13.968258
L,36,-92.521697,-16.693079
L,37,-94.660971,-19.529186
L,38,-95.410181,-22.290750
L,39,-94.356698,-25.157486
L,40,-92.121492,-27.933544
L,41,-89.313211,-30.406067
L,42,-86.191194,-32.567205
L,43,-82.873117,-34.361841
L,44,-79.381188,-35.709380
L,45,-75.734270,-36.579696
L,46,-71.967825,-37.008068
L,47,-68.122320,-37.078734
L,48,-64.174571,-36.921426
L,49,-60.049188,-36.838170
L,50,-55.653723,-37.357752
L,51,-51.266282,-39.940919
L,52,-49.248673,-44.379641
L,53,-48.798739,-48.721485
L,54,-48.935581,-52.889888
L,55,-49.316301,-56.932095
L,56,-49.681460,-60.845878
L,57,-49.711434,-64.556313
L,58,-48.914058,-67.553872
L,59,-46.825686,-69.080654
L,60,-43.479861,-69.534060
L,61,-39.882537,-69.152879
L,62,-36.350260,-68.100023
L,63,-32.758637,-66.576157
L,64,-28.845739,-65.031280
L,65,-24.320403,-64.307907
L,66,-19.925109,-64.949700
L,67,-15.953769,-66.187365
L,68,-12.211338,-67.478087
L,69,-8.547285,-68.466480
L,70,-4.803802,-69.030878
L,71,-1.004798,-69.191208
L,72,2.807955,-68.975129
L,73,6.603305,-68.413383
L,74,10.374957,-67.551786
L,75,14.130158,-66.461448
L,76,17.882414,-65.223424
L,77,21.646497,-63.913354
L,78,25.392766,-62.584624
L,79,29.018497,-61.161258
L,80,32.410856,-59.496447
L,81,35.293280,-57.429588
L,82,37.072412,-54.897030
L,83,37.398908,-51.782876
L,84,36.621603,-48.325689
L,85,35.166315,-44.886100
L,86,33.290334,-41.559769
L,87,31.123444,-38.373054
L,88,28.721423,-35.367429
L,89,26.086064,-32.572079
L,90,23.226708,-29.996086
L,91,20.167933,-27.628423
L,92,16.945241,-25.439153
L,93,13.591659,-23.378779
L,94,10.132792,-21.293289
L,95,6.687152,-18.965668
L,96,3.439247,-16.135193
L,97,0.762094,-12.544321
L,98,-0.892460,-8.428954
L,99,-1.684653,-4.199899
M,0,0.000000,0.000000
M,1,0.087405,3.998926
M,2,-0.030712,7.994291
M,3,-1.079058,11.832463
M,4,-3.618771,14.882156
M,5,-7.080218,16.856292
M,6,-10.964798,17.745210
M,7,-14.937568,17.409375
M,8,-18.799569,16.371800
M,9,-22.686085,15.437736
M,10,-26.674372,15.258857
M,11,-30.620572,15.875795
M,12,-34.387543,17.204361
M,13,-37.847647,19.200990
M,14,-40.990727,21.671931
M,15,-43.956153,24.356095
M,16,-46.924745,27.036749
M,17,-50.047332,29.534729
M,18,-53.403406,31.707334
M,19,-57.005235,33.439013
M,20,-60.854410,34.496058
M,21,-64.828911,34.387604
M,22,-68.367784,32.596632
M,23,-71.068586,29.662892
M,24,-73.081385,26.211825
M,25,-74.572614,22.503041
M,26,-75.624401,18.645698
M,27,-76.350990,14.712862
M,28,-76.953892,10.758574
M,29,-77.690908,6.827934
M,30,-78.858078,3.005953
M,31,-80.607768,-0.586832
M,32,-82.829866,-3.909901
M,33,-85.390220,-6.981317
M,34,-88.182012,-9.844914
M,35,-91.095425,-12.585685
M,36,-93.924760,-15.411903
M,37,-96.320550,-18.604093
M,38,-97.305653,-22.421836
M,39,-95.974923,-26.153152
M,40,-93.476057,-29.265893
M,41,-90.476840,-31.908055
M,42,-87.189526,-34.183786
M,43,-83.673049,-36.085241
M,44,-79.944025,-37.524102
M,45,-76.056134,-38.452235
M,46,-72.083799,-38.904525
M,47,-68.085564,-38.978379
M,48,-64.088835,-38.819490
M,49,-60.090401,-38.737723
M,50,-56.125636,-39.198214
M,51,-52.719440,-41.164983
M,52,-51.105553,-44.782129
M,53,-50.698442,-48.755063
M,54,-50.830538,-52.751547
M,55,-51.205918,-56.733730
M,56,-51.577034,-60.716254
M,57,-51.605008,-64.712451
M,58,-50.542503,-68.532732
M,59,-47.420222,-70.885239
M,60,-43.474864,-71.434053
M,61,-39.503356,-71.014659
M,62,-35.673770,-69.875512
M,63,-31.991522,-68.314413
M,64,-28.274124,-66.843256
M,65,-24.342914,-66.207774
M,66,-20.395174,-66.790635
M,67,-16.577954,-67.981911
M,68,-12.796515,-69.285729
M,69,-8.936318,-70.326226
M,70,-4.983101,-70.922399
M,71,-0.988437,-71.091138
M,72,3.003675,-70.865022
M,73,6.959386,-70.279718
M,74,10.858209,-69.389302
M,75,14.699253,-68.274217
M,76,18.497751,-67.021023
M,77,22.275477,-65.706224
M,78,26.045328,-64.369046
M,79,29.768080,-62.907146
M,80,33.356339,-61.144495
M,81,36.595531,-58.813114
M,82,38.854592,-55.555692
M,83,39.291270,-51.612685
M,84,38.421717,-47.717750
M,85,36.865648,-44.036236
M,86,34.901797,-40.553197
M,87,32.653214,-37.246198
M,88,30.156612,-34.122345
M,89,27.413489,-31.212688
M,90,24.442485,-28.535987
M,91,21.280101,-26.087941
M,92,17.971853,-23.840383
M,93,14.563973,-21.746418
M,94,11.138417,-19.681235
M,95,7.824309,-17.443540
M,96,4.810677,-14.820210
M,97,2.424426,-11.624186
M,98,0.938225,-7.920435
M,99,0.204028,-3.992815
R,0,1.900000,0.000000
R,1,1.986983,3.958885
R,2,1.857751,8.203359
R,3,0.619052,12.684767
R,4,-2.430799,16.364966
R,5,-6.390742,18.626778
R,6,-10.834044,19.640705
R,7,-15.329511,19.268509
R,8,-19.329724,18.196338
R,9,-22.980306,17.314818
R,10,-26.561030,17.155473
R,11,-30.154609,17.717772
R,12,-33.592299,18.929930
R,13,-36.764986,20.762350
R,14,-39.747231,23.108496
R,15,-42.666681,25.751538
R,16,-45.681672,28.473679
R,17,-48.929472,31.071085
R,18,-52.464477,33.359125
R,19,-56.316510,35.209792
R,20,-60.577188,36.375725
R,21,-65.267968,36.236179
R,22,-69.559350,34.076555
R,23,-72.615774,30.765711
R,24,-74.794006,27.034582
R,25,-76.375533,23.102611
R,26,-77.479867,19.054651
R,27,-78.227568,15.010278
R,28,-78.830725,11.054370
R,29,-79.541967,7.256397
R,30,-80.625725,3.702677
R,31,-82.250567,0.367742
R,32,-84.345670,-2.764328
R,33,-86.795899,-5.703011
R,34,-89.500734,-8.477079
R,35,-92.398686,-11.203112
R,36,-95.327824,-14.130727
R,37,-97.980129,-17.679001
R,38,-99.201126,-22.552922
R,39,-97.593147,-27.148817
R,40,-94.830623,-30.598241
R,41,-91.640469,-33.410043
R,42,-88.187858,-35.800367
R,43,-84.472982,-37.808641
R,44,-80.506861,-39.338823
R,45,-76.377999,-40.324774
R,46,-72.199774,-40.800983
R,47,-68.048809,-40.878023
R,48,-64.003099,-40.717555
R,49,-60.131614,-40.637276
R,50,-56.597549,-41.038675
R,51,-54.172598,-42.389047
R,52,-52.962433,-45.184617
R,53,-52.598146,-48.788641
R,54,-52.725495,-52.613207
R,55,-53.095535,-56.535365
R,56,-53.472607,-60.586630
R,57,-53.498581,-64.868589
R,58,-52.170949,-69.511591
R,59,-48.014758,-72.689824
R,60,-43.469866,-73.334047
R,61,-39.124175,-72.876438
R,62,-34.997280,-71.651001
R,63,-31.224408,-70.052670
R,64,-27.702510,-68.655232
R,65,-24.365425,-68.107641
R,66,-20.865239,-68.631569
R,67,-17.202140,-69.776456
R,68,-13.381693,-71.093370
R,69,-9.325351,-72.185971
R,70,-5.162401,-72.813920
R,71,-0.972076,-72.991067
R,72,3.199395,-72.754914
R,73,7.315467,-72.146053
R,74,11.341462,-71.226819
R,75,15.268349,-70.086985
R,76,19.113088,-68.818621
R,77,22.904457,-67.499095
R,78,26.697890,-66.153468
R,79,30.517663,-64.653034
R,80,34.301823,-62.792543
R,81,37.897782,-60.196639
R,82,40.636771,-56.214355
R,83,41.183633,-51.442495
R,84,40.221831,-47.109810
R,85,38.564980,-43.186372
R,86,36.513261,-39.546626
R,87,34.182984,-36.119342
R,88,31.591800,-32.877261
R,89,28.740914,-29.853297
R,90,25.658261,-27.075889
R,91,22.392269,-24.547460
R,92,18.998465,-22.241612
R,93,15.536287,-20.114056
R,94,12.144042,-18.069181
R,95,8.961466,-15.921412
R,96,6.182107,-13.505227
R,97,4.086759,-10.704050
R,98,2.768910,-7.411916
R,99,2.092709,-3.785731
