side,cone_id,x,y
L,5,5.471701,1.973948
L,27,8.976456,1.234006
L,0,11.926022,0.537064
L,2,14.220727,-0.258150
L,4,18.736271,-1.976770
L,8,22.791222,-4.611536
L,9,24.779232,-7.569567
L,16,25.854246,-12.222949
L,13,26.585310,-14.611114
L,10,27.920443,-16.771549
L,11,31.779856,-18.882122
L,15,35.470371,-20.626043
L,21,37.874306,-24.242392
L,28,37.957142,-28.632225
L,40,37.794296,-33.501286
L,60,36.755859,-38.148819
L,83,35.101933,-42.797661
L,82,33.436619,-47.378513
L,37,31.570234,-51.917091
L,76,27.929165,-54.370380
L,72,23.520544,-55.087044
L,92,20.728596,-54.626350
L,73,17.949297,-52.963078
L,74,15.238943,-49.683678
L,80,13.964810,-46.381268
L,81,10.768280,-45.144794
L,84,7.807953,-45.679653
L,87,4.187125,-48.060093
L,89,2.429440,-52.676682
L,91,0.604111,-57.197323
L,108,-2.127378,-61.342575
L,109,-6.627326,-63.449890
L,135,-11.389841,-62.459641
L,136,-15.186726,-59.344685
L,137,-17.763700,-55.186031
L,138,-17.910616,-50.216621
L,163,-16.068258,-46.584118
L,167,-13.098680,-43.195873
L,170,-11.027670,-39.904442
L,175,-10.527531,-36.644566
L,178,-11.187620,-31.782347
L,180,-12.284594,-26.997829
L,184,-14.610065,-22.807678
L,185,-17.080854,-18.472263
L,200,-18.716784,-14.023098
L,210,-19.109453,-10.684426
L,206,-19.124947,-8.079152
L,237,-18.320742,-5.956900
L,202,-15.709888,-2.680118
L,203,-12.642651,-1.724733
L,188,-9.153950,-1.975710
L,201,-6.650221,-0.797134
L,194,-2.553970,1.500023
L,193,1.616546,2.235425
L,5,5.471701,1.973948
R,1,4.960835,-1.976473
R,23,8.269337,-2.716309
R,3,10.988181,-3.273017
R,6,13.456859,-4.114218
R,7,17.745283,-5.580970
R,24,20.138306,-6.996169
R,18,21.123468,-8.975772
R,22,22.449741,-12.713668
R,20,24.158506,-16.954628
R,14,27.009701,-20.519135
R,17,30.011387,-22.216581
R,33,33.703400,-23.513374
R,19,34.660042,-25.202160
R,42,34.803886,-28.596912
R,32,34.066551,-33.202675
R,26,32.929329,-37.870014
R,34,31.569252,-42.448696
R,39,29.993113,-46.410645
R,36,28.060492,-48.386326
R,71,24.681496,-50.252548
R,69,21.146521,-50.417843
R,75,18.774374,-48.500713
R,77,17.858316,-45.461781
R,79,14.965733,-42.757263
R,78,11.360812,-41.135132
R,86,8.182157,-40.974716
R,90,6.120958,-41.507694
R,88,2.720082,-43.440029
R,134,0.564067,-46.161953
R,129,-1.261166,-50.736347
R,110,-3.015105,-55.211166
R,116,-4.222875,-57.025967
R,111,-5.681422,-57.548660
R,128,-7.583035,-56.853027
R,132,-9.038456,-55.054287
R,153,-10.173802,-52.643383
R,161,-10.148138,-47.719795
R,166,-8.173810,-43.341637
R,172,-7.164102,-40.794415
R,174,-6.962295,-37.633995
R,187,-7.485132,-32.831596
R,186,-8.205238,-28.038767
R,191,-9.953111,-23.497316
