side,cone_id,x,y
L,29,1.913230,1.934376
L,5,6.141931,1.717125
L,28,8.120453,1.900866
L,0,10.212066,1.599882
L,4,14.204719,1.384149
L,2,18.202354,1.299146
L,12,22.266964,1.130861
L,24,24.689680,1.509650
L,33,26.732569,2.760669
L,30,28.180094,4.908877
L,48,28.825668,7.420193
L,47,29.076096,9.543436
L,53,27.750233,11.792664
L,73,25.785892,14.586037
L,113,25.203449,16.335720
L,130,24.853552,17.964483
L,115,24.883162,19.746229
L,120,25.269711,21.356596
L,119,26.092175,23.090025
L,105,26.720375,24.428385
L,103,27.339108,26.023973
L,116,27.050991,27.387569
L,118,25.638529,28.035330
L,122,23.057947,28.464813
L,133,20.028133,28.558706
L,147,16.948845,28.283545
L,154,14.773665,27.316488
L,152,13.033010,26.306213
L,160,11.086318,25.072792
L,162,8.837585,23.974350
L,173,6.668895,23.666157
L,189,4.434677,23.687805
L,183,1.519257,24.116091
L,187,-1.836526,25.328526
L,185,-4.731287,26.755062
L,200,-7.826848,28.360834
L,199,-10.366306,29.975077
L,188,-12.893641,31.814590
L,215,-14.095959,33.362785
L,209,-14.891518,34.904106
L,211,-15.402779,36.853207
L,204,-15.233427,38.982925
L,186,-14.499809,40.926888
L,161,-13.514458,43.024708
L,194,-12.370763,44.616516
L,167,-11.194915,46.122723
L,210,-9.361174,47.798607
L,202,-7.091053,48.739536
L,207,-5.159976,48.333504
L,208,-3.152928,47.502098
L,169,-0.981504,46.440327
L,172,0.823018,45.270988
L,170,2.617085,44.097931
L,176,4.601772,44.186020
L,159,6.078350,45.276028
L,151,7.245808,47.366100
L,156,8.365896,49.257721
L,178,9.596326,50.704929
L,144,10.877148,51.416580
L,174,12.740854,51.941597
L,203,14.427983,51.973881
L,153,16.230213,51.947815
L,212,17.664280,51.824245
L,171,19.429449,51.569324
L,140,21.298800,50.965214
L,138,22.976646,49.996086
L,137,24.204241,49.054317
L,124,24.829737,46.799877
L,127,25.902843,45.012817
L,123,27.515327,43.326523
L,125,29.274757,42.189533
L,117,30.993303,41.280960
L,98,33.410610,40.105343
L,97,35.928520,38.772243
L,126,38.419693,37.464523
L,92,40.559895,36.435608
L,90,43.404133,34.893913
L,91,46.511845,33.219894
L,62,50.583050,31.174688
L,61,52.655655,29.918417
L,67,54.508789,28.984524
L,51,56.546265,27.860392
L,69,57.910698,26.525169
L,78,59.424297,24.337450
L,83,60.145260,21.974943
L,82,60.080338,19.475840
L,81,59.316563,16.599485
L,106,58.536327,14.025414
L,107,57.496101,11.757264
L,79,56.207653,9.742329
L,74,54.557049,7.578909
L,77,52.916920,5.223240
L,55,50.623257,2.126700
L,43,47.844582,-1.403859
L,34,45.467236,-3.908798
L,57,43.408646,-5.448117
L,20,40.880058,-6.431087
L,14,38.320267,-7.232399
L,56,35.152596,-8.120924
L,17,31.738491,-8.888488
L,21,28.085022,-9.785776
L,16,24.392736,-10.693834
L,9,20.779604,-11.624584
L,11,17.131384,-12.496003
L,32,13.490994,-13.476454
L,19,10.114343,-14.296716
L,377,7.240947,-15.471285
L,374,5.783880,-17.312204
L,373,5.747292,-19.814125
L,378,5.742560,-22.351427
L,372,5.239376,-23.904568
L,375,4.056863,-25.344574
L,405,2.293766,-26.447037
L,389,-0.287491,-27.759352
L,385,-2.668345,-28.673105
L,397,-6.935820,-29.770569
L,266,-10.830386,-29.949209
L,263,-12.559902,-29.739841
L,267,-14.608022,-28.927856
L,253,-16.107803,-28.031761
L,407,-17.454849,-26.137880
L,256,-18.021742,-24.460884
L,247,-18.365736,-22.279963
L,243,-18.654865,-18.306898
L,230,-18.135475,-14.356909
L,250,-16.869690,-10.471149
L,245,-14.884398,-6.923629
L,232,-12.240075,-3.934436
L,227,-9.124569,-1.409564
L,228,-5.625277,0.402908
L,239,-1.788111,1.640640
L,29,1.913230,1.934376
R,1,5.520673,-1.672087
R,40,7.785841,-1.766271
R,23,9.738297,-1.867459
R,13,13.730809,-2.053239
R,6,17.779663,-2.171322
R,15,21.765480,-2.339328
R,22,25.562235,-1.932100
R,3,27.444250,-1.005116
R,25,28.895002,-0.089279
R,37,30.085251,1.495171
R,54,31.185116,3.092980
R,42,31.692028,4.610933
R,50,32.068756,6.325463
R,45,32.302460,8.165495
R,35,32.524002,10.298763
R,44,31.415493,12.316535
R,46,30.414034,14.000652
R,64,29.059624,15.800729
R,104,28.334715,17.886526
R,99,28.573486,20.201437
R,70,29.889112,22.789122
R,102,30.610296,24.133512
R,101,31.259247,25.707277
R,96,31.248877,27.410900
R,100,30.646151,29.088791
R,110,28.983393,30.723438
R,114,27.184450,31.363258
R,121,24.654530,32.024925
R,131,21.546345,32.243275
R,143,18.458782,32.105305
R,149,16.162495,31.838606
R,148,13.926144,31.006016
R,155,11.109696,29.390850
R,164,8.659175,27.719561
R,190,5.965737,26.958744
R,175,3.589355,27.289696
R,181,0.931060,28.270227
R,182,-2.009808,29.530487
R,179,-5.101841,31.031860
R,180,-7.989537,32.474308
R,214,-10.436766,34.126644
R,184,-12.064983,36.408947
R,201,-11.713464,38.810371
R,163,-10.667806,41.116180
R,198,-9.500138,42.739769
R,158,-8.349159,44.082123
R,191,-6.899843,44.971199
R,222,-5.323164,44.692932
R,197,-2.946506,43.624435
R,218,-0.658111,42.358509
R,219,1.241984,41.143856
R,217,2.963089,40.227921
R,165,6.670030,40.618294
R,177,7.805727,42.124146
R,166,8.671386,43.187222
R,206,9.561968,44.290154
R,157,10.219495,45.484833
R,168,11.266531,47.116665
R,142,12.720399,48.392357
R,145,14.548942,48.608624
R,150,16.112476,48.506313
R,139,17.531649,48.387413
R,146,18.790184,48.217918
R,129,20.272655,47.452995
R,135,21.413088,46.247974
R,141,22.387924,44.440243
R,136,23.680645,42.367859
R,132,24.962917,41.023060
R,128,26.360727,40.070488
R,134,28.072369,39.099709
R,112,29.716482,38.148552
R,108,32.428955,36.827065
R,93,34.917660,35.561157
R,95,37.360867,34.295864
R,111,39.032551,33.417778
R,109,41.627594,32.060020
R,71,44.622177,30.337318
R,66,48.577816,28.292473
R,65,50.660622,27.144709
R,49,52.665638,26.153513
R,68,55.076023,24.614014
R,76,56.323658,22.770203
R,80,56.616177,20.534695
R,84,56.274864,18.178944
R,87,55.592396,15.888764
R,89,54.845345,13.953235
R,88,53.674110,12.037903
R,85,51.950928,9.826780
R,86,50.226406,7.471824
R,72,48.080940,4.584024
R,52,45.304306,0.994589
R,58,42.758453,-1.952238
R,39,39.553707,-3.688750
R,38,37.320641,-4.256708
R,31,34.325321,-5.046463
R,41,31.195612,-5.818460
R,36,27.542139,-6.691481
R,27,24.096952,-7.590693
R,18,20.380299,-8.502619
R,10,16.682804,-9.420600
R,7,13.025237,-10.393994
R,8,9.417907,-11.298866
R,382,6.790244,-11.903853
R,398,4.934281,-12.993058
R,380,3.285917,-14.919081
R,381,2.448929,-16.505995
R,395,2.115513,-18.461721
R,376,2.175820,-20.164497
R,391,1.758417,-21.816730
R,386,0.218750,-23.557751
R,387,-3.458483,-25.300047
R,390,-7.193527,-26.341425
R,388,-10.227421,-26.512598
R,392,-12.659599,-26.118753
R,394,-14.555889,-24.765553
R,393,-15.137444,-22.233196
R,251,-15.298039,-18.633791
R,246,-14.875381,-15.417233
R,260,-13.996308,-12.270164
R,264,-12.522425,-9.183025
R,244,-10.068182,-6.588920
R,233,-7.449785,-4.395086
R,229,-4.486739,-2.848589
R,242,-1.455650,-1.844052
R,249,1.872828,-1.605704
R,1,5.520673,-1.672087
M,-1,3.716885,0.133820
M,-1,5.831352,0.025273
M,-1,6.967556,-0.022114
M,-1,7.959319,0.070876
M,-1,8.934710,0.019304
M,-1,9.977695,-0.129633
M,-1,11.973020,-0.223275
M,-1,13.968973,-0.333594
M,-1,15.993565,-0.392676
M,-1,17.991758,-0.435707
M,-1,19.984280,-0.520125
M,-1,22.014301,-0.603796
M,-1,23.911657,-0.400289
M,-1,25.125729,-0.210805
M,-1,26.066864,0.252825
M,-1,27.086226,0.878467
M,-1,27.811646,1.336692
M,-1,28.407734,2.129462
M,-1,29.131657,3.203763
M,-1,29.680496,4.002784
M,-1,29.933205,4.761730
M,-1,30.256050,6.017294
M,-1,30.444798,6.874566
M,-1,30.560678,7.793812
M,-1,30.685658,8.855273
M,-1,30.797970,9.922539
M,-1,30.241959,10.929567
M,-1,29.579952,12.055332
M,-1,29.080606,12.898693
M,-1,28.405531,13.800808
M,-1,27.424067,15.198994
M,-1,27.133366,16.074196
M,-1,26.771547,17.117304
M,-1,26.597221,17.931667
M,-1,26.612705,18.822491
M,-1,26.732780,19.980003
M,-1,26.926582,20.785049
M,-1,27.338308,21.651495
M,-1,27.997021,22.944921
M,-1,28.311554,23.613811
M,-1,28.672672,24.285801
M,-1,28.982542,25.083443
M,-1,29.307571,25.870081
M,-1,29.302952,26.721920
M,-1,29.159351,27.403839
M,-1,28.858515,28.242958
M,-1,28.027725,29.060846
M,-1,27.128595,29.381401
M,-1,26.422634,29.705791
M,-1,25.158108,30.037727
M,-1,23.868088,30.253391
M,-1,22.314449,30.364317
M,-1,20.800968,30.414436
M,-1,19.258015,30.348047
M,-1,17.718687,30.212980
M,-1,16.570469,30.080399
M,-1,15.451205,29.665073
M,-1,14.365723,29.184891
M,-1,12.956883,28.377613
M,-1,12.085011,27.871914
M,-1,11.111147,27.256279
M,-1,9.885439,26.421494
M,-1,8.759254,25.870911
M,-1,7.412237,25.490227
M,-1,6.327179,25.334499
M,-1,5.210003,25.345779
M,-1,4.021882,25.511799
M,-1,2.564210,25.726654
M,-1,1.235365,26.217686
M,-1,-0.442199,26.824896
M,-1,-1.912237,27.455833
M,-1,-3.359209,28.169876
M,-1,-4.904868,28.921581
M,-1,-6.452174,29.725309
M,-1,-7.895679,30.447319
M,-1,-9.164980,31.255201
M,-1,-10.388094,32.082020
M,-1,-11.651222,33.002510
M,-1,-12.251930,33.776993
M,-1,-13.065395,34.918533
M,-1,-13.462723,35.689438
M,-1,-13.717855,36.664131
M,-1,-13.632622,37.729057
M,-1,-13.456260,38.929756
M,-1,-13.088852,39.901451
M,-1,-12.565305,41.054073
M,-1,-12.072014,42.102821
M,-1,-11.499691,42.898312
M,-1,-10.915375,43.709862
M,-1,-10.326963,44.462696
M,-1,-9.751085,45.133507
M,-1,-8.833778,45.971153
M,-1,-8.108752,46.415413
M,-1,-6.973287,46.885006
M,-1,-6.007733,46.681442
M,-1,-5.219499,46.541817
M,-1,-4.216348,46.125381
M,-1,-3.028203,45.590439
M,-1,-1.942733,45.058903
M,-1,-0.798950,44.425156
M,-1,0.103000,43.839924
M,-1,0.999680,43.252731
M,-1,1.949343,42.644745
M,-1,2.809586,42.186272
M,-1,3.801984,42.229744
M,-1,5.655736,42.423615
M,-1,6.223982,43.176212
M,-1,6.962639,43.720692
M,-1,7.395795,44.251938
M,-1,7.841435,44.803127
M,-1,8.425777,45.847778
M,-1,8.754950,46.444954
M,-1,9.278978,47.260445
M,-1,9.839746,48.205910
M,-1,10.455452,48.929161
M,-1,11.182837,49.566521
M,-1,11.823449,49.921871
M,-1,12.755576,50.183830
M,-1,13.669964,50.291306
M,-1,14.513479,50.306896
M,-1,15.414578,50.293144
M,-1,16.196304,50.241440
M,-1,16.913349,50.179203
M,-1,17.622837,50.119183
M,-1,18.505341,49.991005
M,-1,19.134525,49.905811
M,-1,20.068998,49.603065
M,-1,20.809916,49.220039
M,-1,21.648504,48.734825
M,-1,22.218250,48.131874
M,-1,22.831730,47.660465
M,-1,23.143604,46.532703
M,-1,23.630379,45.628525
M,-1,24.166210,44.734703
M,-1,24.811899,43.698013
M,-1,25.617569,42.854340
M,-1,26.258186,42.181465
M,-1,26.956692,41.704567
M,-1,27.836029,41.135410
M,-1,28.691559,40.649353
M,-1,29.550570,40.194427
M,-1,30.372194,39.718185
M,-1,31.580425,39.129688
M,-1,32.936340,38.468060
M,-1,34.194855,37.800720
M,-1,35.438763,37.166870
M,-1,36.683903,36.512276
M,-1,37.905151,35.878838
M,-1,38.974869,35.363632
M,-1,39.810242,34.923973
M,-1,41.107082,34.244282
M,-1,42.528679,33.472466
M,-1,44.025406,32.610031
M,-1,45.578613,31.771978
M,-1,47.554550,30.747684
M,-1,49.589249,29.723625
M,-1,50.630695,29.149551
M,-1,51.663574,28.520002
M,-1,52.663612,28.023470
M,-1,53.592590,27.556965
M,-1,54.606819,26.994495
M,-1,55.814308,26.225023
M,-1,56.500465,25.557484
M,-1,57.124153,24.635315
