side,cone_id,x,y
L,0,-1.900000,0.000000
L,1,-1.954409,3.936244
L,2,-2.209599,7.785140
L,3,-2.840572,11.468922
L,4,-4.052831,14.840156
L,5,-5.999194,17.724989
L,6,-8.677008,20.113956
L,7,-11.836289,22.042276
L,8,-15.280122,23.531338
L,9,-18.893904,24.581216
L,10,-22.629250,25.199000
L,11,-26.454187,25.443001
L,12,-30.341892,25.406529
L,13,-34.225004,25.169501
L,14,-37.954830,24.617733
L,15,-41.362295,23.523123
L,16,-44.105418,21.662923
L,17,-46.072728,18.903392
L,18,-47.331920,15.547540
L,19,-47.977945,11.909954
L,20,-48.094855,8.171642
L,21,-47.703771,4.466504
L,22,-46.765948,0.895753
L,23,-45.258094,-2.449365
L,24,-43.197123,-5.481840
L,25,-40.641963,-8.137834
L,26,-37.648619,-10.458699
L,27,-34.365018,-12.707216
L,28,-31.010951,-15.214199
L,29,-27.945275,-18.596945
L,30,-26.576141,-23.440466
L,31,-27.630510,-28.004392
L,32,-29.852096,-31.865043
L,33,-32.866942,-35.070847
L,34,-36.245789,-37.610759
L,35,-39.605192,-39.808166
L,36,-42.650093,-42.038690
L,37,-45.075076,-44.612825
L,38,-46.826693,-47.723662
L,39,-47.944320,-51.192313
L,40,-48.443515,-54.830273
L,41,-48.312873,-58.489245
L,42,-47.544346,-62.078758
L,43,-46.192067,-65.528688
L,44,-44.343482,-68.789087
L,45,-42.096378,-71.824715
L,46,-39.521555,-74.507941
L,47,-36.617553,-76.634695
L,48,-33.437550,-77.915152
L,49,-29.999296,-78.177120
L,50,-26.437802,-77.584948
L,51,-22.928958,-76.357917
L,52,-19.561875,-74.659953
L,53,-16.441878,-72.576763
L,54,-13.660480,-70.104764
L,55,-11.284093,-67.255916
L,56,-9.343774,-64.068216
L,57,-7.614544,-60.523947
L,58,-5.596892,-56.807985
L,59,-2.478196,-53.340315
L,60,1.979739,-51.502358
L,61,6.418513,-51.283883
L,62,10.641309,-51.851419
L,63,14.668179,-52.849576
L,64,18.514968,-53.983016
L,65,22.239033,-54.932722
L,66,25.916145,-55.394982
L,67,29.677031,-55.328157
L,68,33.484349,-54.860010
L,69,37.313716,-54.120330
L,70,41.164943,-53.224206
L,71,45.020511,-52.266284
L,72,48.774382,-51.206581
L,73,52.351607,-49.900006
L,74,55.628708,-48.198517
L,75,58.423700,-45.979771
L,76,60.569689,-43.193207
L,77,62.047370,-39.925159
L,78,62.814152,-36.418681
L,79,62.764246,-32.914525
L,80,61.739946,-29.705162
L,81,59.729909,-26.864777
L,82,57.013425,-24.418714
L,83,53.869177,-22.314187
L,84,50.474962,-20.457248
L,85,46.937612,-18.753494
L,86,43.341462,-17.184286
L,87,39.694196,-15.780573
L,88,35.994258,-14.575517
L,89,32.244021,-13.604389
L,90,28.450998,-12.902179
L,91,24.640055,-12.510590
L,92,20.830565,-12.481771
L,93,17.035982,-12.833644
L,94,13.273251,-13.545343
L,95,9.407976,-14.520814
L,96,5.047151,-15.200516
L,97,-0.033693,-12.837483
L,98,-1.589650,-8.256236
L,99,-1.884001,-4.038862
M,0,0.000000,0.000000
M,1,-0.055461,3.999437
M,2,-0.320644,7.989713
M,3,-0.997101,11.928936
M,4,-2.350796,15.684594
