side,cone_id,x,y
L,1,2.614583,2.545776
L,7,4.506601,1.663604
L,0,9.485025,1.056332
L,23,12.872570,-0.302281
L,5,15.674311,-1.690784
L,20,18.338364,-2.273159
L,17,21.829491,-0.843249
L,25,24.711056,0.680119
L,18,27.413206,1.655453
L,44,30.937696,1.795589
L,42,34.484825,0.440095
L,30,36.475952,-2.396094
L,12,36.676449,-4.702404
L,19,36.387081,-7.551243
L,29,35.577087,-10.160388
L,51,34.342178,-12.238031
L,41,32.054344,-14.032566
L,21,28.502848,-15.185475
L,36,26.116243,-15.412499
L,15,23.897240,-14.765667
L,50,20.887861,-14.861742
L,43,18.092543,-15.916015
L,37,14.790852,-15.851442
L,22,11.892941,-15.495051
L,46,8.673135,-15.248693
L,65,6.138053,-14.259186
L,64,4.429037,-13.128560
L,68,2.368220,-11.213830
L,69,0.226673,-10.709612
L,70,-2.275472,-11.890838
L,72,-4.451389,-13.807987
L,76,-7.248067,-14.847325
L,74,-10.443382,-14.689013
L,77,-12.819436,-13.944618
L,75,-14.660487,-12.114276
L,109,-16.029337,-9.988147
L,88,-17.202789,-8.261045
L,130,-19.734844,-8.067725
L,126,-22.803108,-7.899310
L,141,-25.239098,-7.697358
L,138,-27.416046,-7.718777
L,140,-29.907261,-7.598834
L,139,-32.181217,-7.509473
L,95,-34.726120,-7.966837
L,137,-36.909607,-9.011316
L,163,-39.459743,-9.347202
L,96,-42.268764,-10.219254
L,143,-45.057423,-11.224144
L,153,-48.156200,-11.886352
L,166,-50.975708,-12.149691
L,189,-53.924885,-12.331526
L,167,-55.983105,-11.620824
L,183,-58.301819,-10.477066
L,191,-59.213181,-7.891872
L,173,-58.958687,-5.142423
L,174,-58.263004,-2.739223
L,169,-56.093262,-0.681410
L,175,-54.481102,1.033426
L,185,-53.906998,3.388057
L,150,-52.954231,5.822171
L,145,-51.619381,7.196519
L,164,-49.987827,8.414500
L,156,-48.128384,9.166697
L,127,-45.700172,8.515150
L,125,-43.444008,6.077774
L,121,-42.079140,3.925712
L,134,-39.965092,1.943104
L,133,-37.997768,0.446239
L,84,-35.797585,0.682485
L,119,-33.816628,2.190847
L,113,-31.609917,3.496873
L,122,-29.168871,4.750509
L,160,-27.102739,4.506943
L,90,-25.268272,3.762779
L,111,-23.386967,2.319821
L,114,-20.672121,2.035455
L,110,-17.526657,2.872135
L,102,-15.262532,2.729858
L,100,-11.443694,2.440769
L,99,-7.031223,2.195353
L,97,-2.949976,1.868926
L,101,0.601947,1.674772
R,6,4.313416,-1.601303
R,9,8.665751,-1.954943
R,27,12.292275,-3.652253
R,2,16.118160,-5.825295
R,8,19.323080,-5.275923
R,28,22.272219,-4.174844
R,35,25.169182,-2.176797
R,10,28.390371,-1.364444
R,31,31.503340,-1.870743
R,38,32.671299,-3.457347
R,40,33.165131,-6.040174
R,39,32.704895,-8.907601
R,16,30.492987,-10.721196
R,26,27.746786,-11.371159
R,13,24.661247,-11.123027
R,14,21.105711,-11.592331
R,4,18.140526,-12.819139
R,3,14.681684,-12.149024
R,24,11.691648,-12.020896
R,32,9.059738,-11.759019
R,66,5.627146,-10.293737
R,71,2.876913,-8.009198
R,103,-0.004302,-7.670482
R,78,-3.013518,-8.790465
R,67,-5.441338,-11.063478
R,79,-7.997735,-12.021673
R,73,-10.564691,-11.689270
R,83,-12.475941,-10.070578
R,107,-14.028716,-7.420094
R,117,-15.236502,-5.619719
R,106,-17.215612,-4.460023
R,89,-20.014957,-4.613575
R,98,-23.768873,-4.465163
R,112,-27.065407,-4.247157
R,91,-30.914434,-4.416786
R,120,-34.578079,-5.031423
R,124,-37.628220,-5.908509
R,149,-41.343384,-6.896897
R,116,-44.634815,-7.948801
R,146,-47.499798,-8.611689
R,157,-50.755562,-9.090153
R,168,-53.379501,-9.226768
R,158,-55.598854,-8.325921
R,171,-56.106102,-6.511882
R,176,-55.636879,-3.997433
R,161,-53.112713,-1.929058
R,179,-51.542095,0.215103
R,148,-50.990692,2.673112
R,177,-49.628082,4.548129
R,155,-48.131416,4.833738
R,135,-46.403889,4.582993
R,162,-45.240078,3.047229
R,128,-43.538319,0.714361
R,85,-41.456886,-1.370372
R,142,-39.085743,-3.152727
R,118,-36.169769,-3.179789
R,132,-33.078594,-1.510508
R,131,-30.857695,0.432630
R,82,-28.716566,1.561113
R,92,-26.803835,0.888804
R,123,-24.983320,-0.616273
R,80,-22.004328,-1.032488
R,105,-19.727858,-0.853716
R,115,-17.321123,-0.350603
R,104,-14.819839,-0.256856
R,93,-11.931392,-0.345114
R,94,-7.667435,-0.717162
R,86,-3.508658,-1.085820
R,87,0.390390,-1.408843
M,-1,3.463999,0.472236
M,-1,4.410008,0.031151
M,-1,9.075388,-0.449305
M,-1,12.177360,-1.787687
M,-1,14.840673,-3.158497
M,-1,18.602431,-3.813673
M,-1,22.679403,-2.075534
M,-1,25.063455,-0.717235
M,-1,27.800446,0.119947
M,-1,30.654519,0.054478
M,-1,32.994082,-0.715324
M,-1,34.573626,-2.926720
M,-1,34.859328,-5.049834
M,-1,34.698344,-7.280193
M,-1,34.140991,-9.533995
M,-1,33.196613,-10.840869
M,-1,31.273665,-12.376881
M,-1,28.124817,-13.278317
M,-1,26.282935,-13.339672
M,-1,23.667497,-13.025093
M,-1,20.326296,-13.504443
M,-1,18.116534,-14.367577
M,-1,15.134554,-14.077397
M,-1,11.967057,-13.765463
M,-1,8.866436,-13.503856
M,-1,6.814596,-12.674306
M,-1,5.033167,-11.713315
M,-1,3.259633,-10.140707
M,-1,-0.284127,-9.337176
M,-1,-3.221258,-10.880638
M,-1,-4.963354,-12.442101
M,-1,-7.622901,-13.434499
M,-1,-10.253363,-13.221602
M,-1,-11.792404,-12.731963
M,-1,-13.568214,-11.092427
M,-1,-14.724593,-9.223768
M,-1,-15.913783,-7.396313
M,-1,-19.829715,-6.338171
M,-1,-22.736083,-6.203977
M,-1,-25.129486,-6.039895
M,-1,-27.492056,-5.994043
M,-1,-29.978218,-5.988743
M,-1,-32.416201,-6.108814
M,-1,-35.110282,-6.630883
M,-1,-37.318813,-7.473188
M,-1,-39.826394,-7.969031
M,-1,-42.707581,-8.846187
M,-1,-45.406348,-9.716096
M,-1,-48.384796,-10.330846
M,-1,-51.054843,-10.629773
M,-1,-53.652193,-10.779147
M,-1,-55.381810,-10.139457
M,-1,-56.950336,-9.401494
M,-1,-57.593355,-7.438931
M,-1,-57.456914,-5.422670
M,-1,-56.949942,-3.368328
M,-1,-55.188758,-1.785232
M,-1,-53.329695,0.190009
M,-1,-52.448845,3.030584
M,-1,-51.562973,4.811117
M,-1,-50.623732,5.872324
M,-1,-49.625559,6.516121
M,-1,-48.129900,7.000217
M,-1,-46.052031,6.549072
M,-1,-44.743860,5.092739
M,-1,-43.319821,3.020671
M,-1,-41.166999,0.743099
M,-1,-39.058460,-0.964845
M,-1,-35.032206,-0.734844
M,-1,-32.739485,0.959733
M,-1,-30.896194,2.142690
M,-1,-28.942719,3.155811
M,-1,-27.652258,2.943556
M,-1,-26.036054,2.325792
M,-1,-23.603433,0.770500
M,-1,-20.556479,0.562875
M,-1,-17.423890,1.260766
M,-1,-15.206330,1.230311
M,-1,-11.566158,1.037236
M,-1,-7.161788,0.722471
M,-1,-3.073441,0.378639
M,-1,0.474363,0.134771
