side,cone_id,x,y
L,3,6.467337,1.374188
L,1,9.454762,0.369181
L,2,11.722377,-0.238463
L,0,14.389264,-0.034686
L,6,17.517853,2.065727
L,21,18.530222,4.322050
L,20,18.567148,6.558406
L,22,17.895275,8.687978
L,9,15.959297,10.809449
L,24,12.809891,11.857470
L,23,9.572205,11.209624
L,47,6.239707,10.226156
L,53,2.832286,9.979747
L,49,-0.587767,10.615244
L,46,-3.153765,11.405375
L,45,-6.478593,11.143484
L,48,-10.159737,9.975585
L,52,-14.125340,9.058942
L,50,-17.471954,9.310048
L,51,-21.448593,10.104739
L,57,-23.236879,8.275545
L,67,-22.498180,5.899176
L,61,-19.546553,4.412394
L,62,-15.620003,3.818905
L,63,-11.998640,3.668770
L,64,-9.336123,2.626649
L,69,-6.840666,1.451352
L,73,-3.591863,1.274402
L,76,-0.616273,1.469152
L,13,3.246730,1.648534
L,3,6.467337,1.374188
R,7,5.185983,-1.693837
R,4,8.453540,-2.802727
R,8,11.482758,-3.733026
R,5,14.587055,-3.529367
R,18,17.433849,-2.761929
R,17,19.859850,-0.645092
R,16,21.305948,1.195221
R,19,22.025928,3.454536
R,14,22.260191,5.713493
R,11,21.695581,9.095607
R,15,20.852516,10.922360
R,10,19.177011,12.541234
R,27,17.264948,14.041861
R,25,14.794792,15.059843
R,26,11.867143,15.207573
R,33,10.029635,14.747807
R,34,8.113491,13.997377
R,36,5.086380,13.122636
R,37,2.197999,13.163053
R,38,-0.214616,13.800449
R,39,-2.933909,14.461071
R,40,-7.217200,14.186782
R,42,-11.670841,13.043387
R,43,-15.198024,12.443213
R,41,-18.793949,13.251097
R,59,-21.445030,13.470810
R,55,-24.013725,12.956104
R,54,-25.832893,11.269878
R,56,-26.748960,8.990291
R,60,-26.822111,6.758483
R,58,-25.446650,4.187768
R,68,-23.078573,1.898609
R,66,-19.306940,0.765248
R,65,-15.405026,0.739359
R,70,-12.742620,0.693660
R,71,-10.222830,-0.218204
R,74,-7.384761,-1.524385
R,75,-3.469470,-1.787787
R,77,-0.602017,-1.847598
R,12,2.348707,-1.881510
R,7,5.185983,-1.693837
M,-1,5.826660,-0.159825
M,-1,7.460438,-0.714270
M,-1,8.954151,-1.216773
M,-1,10.087958,-1.520595
M,-1,11.602568,-1.985744
M,-1,13.154716,-1.883915
M,-1,14.488159,-1.782027
M,-1,15.911556,-1.398307
M,-1,17.475851,-0.348101
M,-1,18.688850,0.710317
M,-1,19.411900,1.630474
M,-1,19.918085,2.758635
M,-1,20.278076,3.888293
M,-1,20.395206,5.017771
M,-1,20.413670,6.135950
M,-1,20.131365,7.827006
M,-1,19.795429,8.891792
M,-1,19.373896,9.805169
M,-1,18.536144,10.614606
M,-1,17.568153,11.675342
M,-1,16.612122,12.425655
M,-1,15.377045,12.934647
M,-1,13.802341,13.458656
M,-1,12.338516,13.532521
M,-1,11.419764,13.302638
M,-1,9.800920,12.978716
M,-1,8.842848,12.603500
M,-1,7.176600,12.111767
M,-1,5.663044,11.674397
M,-1,3.959333,11.551191
M,-1,2.515142,11.571400
M,-1,0.805116,11.889149
M,-1,-0.401191,12.207847
M,-1,-1.684191,12.602913
M,-1,-3.043837,12.933224
M,-1,-4.706251,12.802278
M,-1,-6.847897,12.665133
M,-1,-8.688468,12.081183
M,-1,-10.915289,11.509486
M,-1,-12.898090,11.051165
M,-1,-14.661682,10.751078
M,-1,-16.334990,10.876631
M,-1,-18.132952,11.280573
M,-1,-20.121271,11.677917
M,-1,-21.446812,11.787775
M,-1,-22.731159,11.530422
M,-1,-23.640743,10.687309
M,-1,-24.534885,9.772712
M,-1,-24.992920,8.632917
M,-1,-25.029495,7.517015
M,-1,-24.660145,6.328830
M,-1,-23.972416,5.043472
M,-1,-22.788376,3.898892
M,-1,-21.312563,3.155501
M,-1,-19.426746,2.588821
M,-1,-17.463470,2.292077
M,-1,-15.512514,2.279132
M,-1,-14.181311,2.256282
M,-1,-12.370630,2.181215
M,-1,-11.039371,1.660154
M,-1,-9.779476,1.204222
M,-1,-8.531748,0.616574
M,-1,-7.112714,-0.036517
M,-1,-5.155068,-0.168218
M,-1,-3.530667,-0.256693
M,-1,-2.096940,-0.286598
M,-1,-0.609145,-0.189223
M,-1,0.866217,-0.206179
M,-1,2.797719,-0.116488
M,-1,4.216356,-0.022652
M,-1,5.826660,-0.159825
