side,cone_id,x,y
L,0,-1.900000,-0.000000
L,1,-1.591454,4.231858
L,2,-0.984673,8.231784
L,3,-0.534048,12.026456
L,4,-0.682751,15.578198
L,5,-1.771623,18.807428
L,6,-3.762665,21.687383
L,7,-6.397693,23.937298
L,8,-9.445829,25.187015
L,9,-12.914140,25.357606
L,10,-16.659166,24.832668
L,11,-20.604872,24.077459
L,12,-24.820702,23.572931
L,13,-29.100760,23.724333
L,14,-33.227116,24.388169
L,15,-37.193840,25.297355
L,16,-41.055141,26.224020
L,17,-44.848635,26.969857
L,18,-48.558432,27.304870
L,19,-52.054496,26.944374
L,20,-55.113379,25.610914
L,21,-57.745462,23.308683
L,22,-59.892452,20.375748
L,23,-61.537885,17.066200
L,24,-62.656121,13.535373
L,25,-63.225068,9.868155
L,26,-63.256014,6.137702
L,27,-62.785831,2.409008
L,28,-61.932572,-1.406186
L,29,-61.071901,-5.442401
L,30,-60.724388,-9.790858
L,31,-61.478371,-14.243225
L,32,-63.367844,-18.300493
L,33,-66.268377,-21.754903
L,34,-69.876116,-24.274307
L,35,-73.480951,-26.163860
L,36,-76.699203,-28.056493
L,37,-79.174821,-30.397046
L,38,-80.772371,-33.391002
L,39,-81.312276,-36.619192
L,40,-80.423190,-39.402669
L,41,-78.059075,-41.920886
L,42,-74.983268,-44.371689
L,43,-71.783349,-47.317756
L,44,-69.453830,-51.376348
L,45,-68.523757,-55.700769
L,46,-68.266039,-59.842716
L,47,-68.137552,-63.815014
L,48,-67.840712,-67.668718
L,49,-67.191542,-71.353083
L,50,-65.943338,-74.426562
L,51,-64.104148,-75.519358
L,52,-61.061856,-74.791070
L,53,-57.852197,-73.024768
L,54,-54.785924,-70.771396
L,55,-51.889745,-68.227057
L,56,-49.108222,-65.466217
L,57,-46.316029,-62.584953
L,58,-43.284669,-59.720488
L,59,-39.492260,-57.235657
L,60,-34.492372,-56.613589
L,61,-30.155352,-58.331138
L,62,-26.673009,-60.865666
L,63,-23.625046,-63.690828
L,64,-20.806382,-66.645049
L,65,-18.112150,-69.655111
L,66,-15.475776,-72.665997
L,67,-12.839247,-75.621718
L,68,-10.146819,-78.420276
L,69,-7.397195,-80.686990
L,70,-6.877798,-80.961242
L,71,-6.492408,-77.728825
L,72,-6.758745,-73.963144
L,73,-7.381469,-70.159498
L,74,-8.275237,-66.396061
L,75,-9.425716,-62.687334
L,76,-10.767588,-58.982015
L,77,-12.181169,-55.219920
L,78,-13.474817,-51.263568
L,79,-14.115971,-46.761585
L,80,-12.123919,-41.878108
L,81,-8.093314,-39.352006
L,82,-3.976176,-38.112624
L,83,0.105509,-37.373938
L,84,4.156827,-36.884043
L,85,8.171057,-36.520813
L,86,12.117952,-36.159424
L,87,15.948541,-35.645183
L,88,19.447317,-34.735222
L,89,21.554507,-33.234707
L,90,21.451132,-30.789374
L,91,19.914133,-27.645167
L,92,17.683363,-24.710618
L,93,15.015720,-22.169318
L,94,11.928392,-20.009405
L,95,8.524497,-17.983964
L,96,4.998509,-15.652311
L,97,1.814442,-12.453687
L,98,-0.330848,-8.521733
L,99,-1.515211,-4.315936
M,0,0.000000,0.000000
M,1,0.292630,3.986442
M,2,0.892946,7.941010
M,3,1.362493,11.911861
M,4,1.189935,15.899205
M,5,-0.081277,19.675029
M,6,-2.348986,22.956835
M,7,-5.383306,25.543853
M,8,-9.065199,27.048498
M,9,-13.047533,27.252917
M,10,-17.007012,26.700556
M,11,-20.935627,25.948449
M,12,-24.904046,25.471102
M,13,-28.897678,25.613449
M,14,-32.845254,26.249400
M,15,-36.743852,27.143300
M,16,-40.633396,28.076621
M,17,-44.557597,28.847434
M,18,-48.538188,29.204762
