side,cone_id,x,y
L,0,-1.900000,0.000000
L,1,-2.041494,3.938389
L,2,-1.712946,8.421291
L,3,0.888087,12.749267
L,4,4.663581,15.219993
L,5,8.495014,16.873394
L,6,12.364323,18.247002
L,7,16.277717,19.416397
L,8,20.201707,20.433335
L,9,24.108430,21.367855
L,10,27.975761,22.298033
L,11,31.777917,23.306357
L,12,35.487251,24.476562
L,13,39.067154,25.884310
L,14,42.470915,27.592203
L,15,45.646290,29.641820
L,16,48.544835,32.046086
L,17,51.132913,34.787392
L,18,53.369162,37.811503
L,19,55.123452,41.050036
L,20,56.094658,44.363769
L,21,55.752100,47.247768
L,22,53.769325,49.601364
L,23,50.713165,51.453108
L,24,47.206626,52.887663
L,25,43.499727,54.062626
L,26,39.687341,55.100346
L,27,35.829965,56.091817
L,28,31.988229,57.011856
L,29,28.159635,57.777952
L,30,24.343562,58.290772
L,31,20.548449,58.448130
L,32,16.780339,58.173537
L,33,12.942551,57.539963
L,34,9.003306,56.787620
L,35,4.936991,56.152982
L,36,0.739685,55.866671
L,37,-3.526776,56.123101
L,38,-7.788274,57.133112
L,39,-11.807545,59.215985
L,40,-15.046775,62.242179
L,41,-17.582851,65.624733
L,42,-19.766702,69.052055
L,43,-21.886774,72.349231
L,44,-24.176882,75.432397
L,45,-26.718325,78.265725
L,46,-29.531249,80.784772
L,47,-32.614960,82.931016
L,48,-35.944829,84.664742
L,49,-39.461428,85.952976
L,50,-43.076783,86.714648
L,51,-46.665690,86.805247
L,52,-50.002995,86.036504
L,53,-52.903143,84.267945
L,54,-55.372189,81.674219
L,55,-57.410507,78.570214
L,56,-59.072881,75.163684
L,57,-60.409867,71.573835
L,58,-61.461207,67.857495
L,59,-62.294244,64.040119
L,60,-63.002080,60.144542
L,61,-63.689464,56.192951
L,62,-64.374464,52.285159
L,63,-64.861226,48.464680
L,64,-64.917659,44.749505
L,65,-64.320009,41.177365
L,66,-63.089474,37.644994
L,67,-61.454436,34.141680
L,68,-59.626550,30.613792
L,69,-57.795786,26.984001
L,70,-56.144485,23.168134
L,71,-54.895394,19.096595
L,72,-54.264803,14.880563
L,73,-54.076095,10.762480
L,74,-54.011609,6.772625
L,75,-53.826797,2.867904
L,76,-53.438543,-1.002249
L,77,-52.809130,-4.817915
L,78,-51.899475,-8.561453
L,79,-50.718717,-12.258943
L,80,-49.333265,-15.925697
L,81,-47.816465,-19.580707
L,82,-46.233485,-23.196431
L,83,-44.500847,-26.606744
L,84,-42.431715,-29.609558
L,85,-39.890406,-31.842178
L,86,-36.784987,-33.016171
L,87,-33.256127,-33.269695
L,88,-29.636889,-32.784902
L,89,-26.122859,-31.684643
L,90,-22.798305,-30.028384
