tag,x,y
none,19.57434,-2.18574
none,22.01108,-3.81392
none,23.63926,-6.25066
none,24.211,-9.125
none,23.63926,-11.99934
none,22.01108,-14.43608
none,19.57434,-16.06426
none,16.7,-16.636
none,13.82566,-16.06426
none,11.38892,-14.43608
none,9.76074,-11.99934
none,9.189,-9.125
none,9.76074,-6.25066
none,11.38892,-3.81392
none,13.82566,-2.18574
none,17.22394,-1.6323
none,16.17606,-1.6323
none,26.62154,-5.01536
none,27.439,-9.125
none,26.62154,-13.23464
none,24.29362,-16.71862
none,20.80964,-19.04654
none,16.7,-19.864
none,12.59036,-19.04654
none,9.10638,-16.71862
none,6.77846,-13.23464
none,5.961,-9.125
none,6.77846,-5.01536
none,24.61762,-1.86984
none,8.78238,-1.86984
none,13.82566,2.18574
none,11.38892,3.81392
none,9.76074,6.25066
none,9.189,9.125
none,9.76074,11.99934
none,11.38892,14.43608
none,13.82566,16.06426
none,16.7,16.636
none,19.57434,16.06426
none,22.01108,14.43608
none,23.63926,11.99934
none,24.211,9.125
none,23.63926,6.25066
none,22.01108,3.81392
none,19.57434,2.18574
none,16.17606,1.6323
none,17.22394,1.6323
none,6.77846,5.01536
none,5.961,9.125
none,6.77846,13.23464
none,9.10638,16.71862
none,12.59036,19.04654
none,16.7,19.864
none,20.80964,19.04654
none,24.29362,16.71862
none,26.62154,13.23464
none,27.439,9.125
none,26.62154,5.01536
none,8.78238,1.86984
none,24.61762,1.86984
none,17.87052,-1.73462
none,15.52948,-1.73462
none,15.52948,1.73462
none,17.87052,1.73462
