x,y,z,boundary_left,boundary_right,velocity_long_ref,kappa,yaw_angle,yaw_angle_error,lat_deviation,arc_progress,time,yaw_angle_dot,velocity_lat,acceleration_long,acceleration_lat,force_long_fl,force_long_fr,force_long_rl,force_long_rr,steering_angle,steering_angle_dot
0,0.0,0,0.86,-0.86,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0998627916,0.0,0,0.86,-0.86,3,0,0,0,0,0.0998627889,0,0,0,0,0,0,0,0,0,0,0
0.199725583,0.0,0,0.86,-0.86,3,0,0,0,0,0.199725578,0,0,0,0,0,0,0,0,0,0,0
0.299588352,0.0,0,0.86,-0.86,3,0,0,0,0,0.299588367,0,0,0,0,0,0,0,0,0,0,0
0.399451166,0.0,0,0.86,-0.86,3,0,0,0,0,0.399451156,0,0,0,0,0,0,0,0,0,0,0
0.499313951,0.0,0,0.86,-0.86,3,0,0,0,0,0.499313945,0,0,0,0,0,0,0,0,0,0,0
0.599176705,0.0,0,0.86,-0.86,3,0,0,0,0,0.599176734,0,0,0,0,0,0,0,0,0,0,0
0.699039519,0.0,0,0.86,-0.86,3,0,0,0,0,0.699039522,0,0,0,0,0,0,0,0,0,0,0
0.798902333,0.0,0,0.86,-0.86,3,0,0,0,0,0.798902311,0,0,0,0,0,0,0,0,0,0,0
0.898765087,0.0,0,0.86,-0.86,3,0,0,0,0,0.8987651,0,0,0,0,0,0,0,0,0,0,0
0.998627901,0.0,0,0.86,-0.86,3,0,0,0,0,0.998627889,0,0,0,0,0,0,0,0,0,0,0
1.09849072,0.0,0,0.86,-0.86,3,0,0,0,0,1.09849068,0,0,0,0,0,0,0,0,0,0,0
1.19835341,0.0,0,0.86,-0.86,3,0,0,0,0,1.19835347,0,0,0,0,0,0,0,0,0,0,0
1.29821622,0.0,0,0.86,-0.86,3,0,0,0,0,1.29821626,0,0,0,0,0,0,0,0,0,0,0
1.39807904,0.0,0,0.86,-0.86,3,0,0,0,0,1.39807904,0,0,0,0,0,0,0,0,0,0,0
1.49794185,0.0,0,0.86,-0.86,3,0,0,0,0,1.49794183,0,0,0,0,0,0,0,0,0,0,0
1.59780467,0.0,0,0.86,-0.86,3,0,0,0,0,1.59780462,0,0,0,0,0,0,0,0,0,0,0
1.69766736,0.0,0,0.86,-0.86,3,0,0,0,0,1.69766741,0,0,0,0,0,0,0,0,0,0,0
1.79753017,0.0,0,0.86,-0.86,3,0,0,0,0,1.7975302,0,0,0,0,0,0,0,0,0,0,0
1.89739299,0.0,0,0.86,-0.86,3,0,0,0,0,1.89739299,0,0,0,0,0,0,0,0,0,0,0
1.9972558,0.0,0,0.86,-0.86,3,0,0,0,0,1.99725578,0,0,0,0,0,0,0,0,0,0,0
2.09711862,0.0,0,0.86,-0.86,3,0,0,0,0,2.09711857,0,0,0,0,0,0,0,0,0,0,0
2.19698143,0.0,0,0.86,-0.86,3,0,0,0,0,2.19698136,0,0,0,0,0,0,0,0,0,0,0
2.29684424,0.0,0,0.86,-0.86,3,0,0,0,0,2.29684415,0,0,0,0,0,0,0,0,0,0,0
2.39670682,0.0,0,0.86,-0.86,3,0,0,0,0,2.39670693,0,0,0,0,0,0,0,0,0,0,0
2.49656963,0.0,0,0.86,-0.86,3,0,0,0,0,2.49656972,0,0,0,0,0,0,0,0,0,0,0
2.59643245,0.0,0,0.86,-0.86,3,0,0,0,0,2.59643251,0,0,0,0,0,0,0,0,0,0,0
2.69629526,0.0,0,0.86,-0.86,3,0,0,0,0,2.6962953,0,0,0,0,0,0,0,0,0,0,0
2.79615808,0.0,0,0.86,-0.86,3,0,0,0,0,2.79615809,0,0,0,0,0,0,0,0,0,0,0
2.89602089,0.0,0,0.86,-0.86,3,0,0,0,0,2.89602088,0,0,0,0,0,0,0,0,0,0,0
2.9958837,0.0,0,0.86,-0.86,3,0,0,0,0,2.99588367,0,0,0,0,0,0,0,0,0,0,0
3.09574652,0.0,0,0.86,-0.86,3,0,0,0,0,3.09574646,0,0,0,0,0,0,0,0,0,0,0
3.19560933,0.0,0,0.86,-0.86,3,0,0,0,0,3.19560925,0,0,0,0,0,0,0,0,0,0,0
3.29547215,0.0,0,0.86,-0.86,3,0,0,0,0,3.29547203,0,0,0,0,0,0,0,0,0,0,0
3.39533472,0.0,0,0.86,-0.86,3,0,0,0,0,3.39533482,0,0,0,0,0,0,0,0,0,0,0
