side,cone_id,x,y
L,8,8.157888,1.673507
L,16,11.554318,1.840558
L,18,15.898183,2.003471
L,4,18.790934,2.077843
L,20,21.760448,1.339573
L,32,24.284039,0.783520
L,26,27.632467,0.571766
L,29,29.904228,1.370096
L,5,30.415354,3.293693
L,19,29.204924,4.924806
L,6,25.969610,5.459296
L,14,23.351530,5.599776
L,12,20.571051,4.716802
L,34,18.352425,4.282856
L,22,16.089197,4.852577
L,23,13.057649,6.155320
L,15,10.271996,6.947198
L,36,6.165776,8.968071
L,43,3.680938,10.951985
L,42,1.145528,12.614549
L,45,-1.822292,14.108161
L,60,-5.455570,14.026127
L,48,-8.601958,13.354686
L,63,-11.245041,12.529582
L,66,-13.997915,11.759980
L,59,-15.889234,11.241049
L,95,-17.835638,11.336707
L,75,-20.193754,11.618375
L,73,-22.743277,12.243222
L,71,-24.966137,11.301661
L,56,-26.778448,10.421448
L,86,-27.892979,8.328865
L,87,-26.377590,6.876132
L,106,-23.352346,7.197968
L,98,-22.453972,7.626285
L,57,-20.414635,7.175274
L,72,-18.061144,6.839327
L,61,-15.927544,6.502325
L,64,-14.019997,5.078925
L,74,-12.109861,3.889518
L,82,-9.541637,2.977545
L,88,-5.754517,1.882117
L,70,-2.103454,1.601160
L,65,1.418866,1.539876
L,13,4.895305,1.602458
L,8,8.157888,1.673507
R,35,7.791097,-1.351896
R,27,11.106158,-1.350455
R,0,16.171700,-1.473368
R,3,19.714773,-1.462738
R,1,22.686707,-2.051843
R,21,24.882818,-2.148241
R,39,28.040878,-2.567336
R,28,30.336359,-1.912775
R,7,32.837078,-1.075350
R,31,34.071556,2.023422
R,25,34.284100,4.977294
R,33,32.679447,7.377439
R,30,29.359152,8.638306
R,24,26.043695,8.876062
R,11,23.961979,9.087912
R,17,20.868132,8.249721
R,2,17.868681,7.822805
R,9,14.476567,9.058944
R,37,11.899542,10.694837
R,38,8.324993,12.613486
R,41,5.253938,14.288045
R,44,1.791106,15.787955
R,46,-1.664580,17.059065
