side,cone_id,x,y
L,0,-1.900000,0.000000
L,1,-0.465936,4.762130
L,2,2.324187,8.205646
L,3,5.347830,11.019088
L,4,8.345458,13.653747
L,5,11.206696,16.314659
L,6,13.884805,19.117684
L,7,16.336281,22.078369
L,8,18.399162,25.182435
L,9,19.467370,28.087350
L,10,18.525657,28.910934
L,11,15.159263,29.070628
L,12,11.467292,28.509293
L,13,7.801213,27.506899
L,14,4.248245,26.131092
L,15,0.755679,24.435440
L,16,-2.768250,22.567374
L,17,-6.517653,20.750683
L,18,-10.905782,19.539025
L,19,-15.844657,20.482896
L,20,-19.459540,23.432020
L,21,-21.988015,26.998205
L,22,-23.845076,30.840536
L,23,-25.170653,34.844689
L,24,-26.118374,38.834804
L,25,-26.959094,42.713537
L,26,-27.986416,46.338610
L,27,-29.552634,49.281010
L,28,-31.903149,50.841754
L,29,-35.142483,51.058828
L,30,-38.399334,50.195079
L,31,-40.777214,48.359546
L,32,-42.056446,45.393840
L,33,-42.639523,41.701511
L,34,-43.069589,37.676195
L,35,-43.992569,33.410731
L,36,-46.315225,29.316179
L,37,-49.893240,26.409644
L,38,-54.016787,24.697838
L,39,-58.349907,23.974323
L,40,-62.708474,24.143115
L,41,-66.848907,24.977959
L,42,-70.763995,26.091272
L,43,-74.519197,27.135370
L,44,-78.099759,27.694658
L,45,-81.259255,27.237061
L,46,-83.829903,25.430351
L,47,-85.799083,22.616736
L,48,-86.814701,19.459980
L,49,-86.375336,16.537747
L,50,-84.466656,13.799541
L,51,-81.700769,11.300550
L,52,-78.575434,8.922352
L,53,-75.339217,6.468792
L,54,-72.177972,3.719343
L,55,-69.327463,0.541783
L,56,-66.996017,-3.145180
L,57,-65.516089,-7.378554
L,58,-65.297508,-11.919074
L,59,-65.992282,-16.056718
L,60,-66.608571,-19.791228
L,61,-66.401674,-23.123641
L,62,-65.014826,-26.168944
L,63,-62.721582,-28.703198
L,64,-59.777800,-30.393123
L,65,-56.207403,-31.428108
L,66,-52.247595,-32.354129
L,67,-48.197996,-33.766834
L,68,-44.390422,-35.887730
L,69,-41.058764,-38.852602
L,70,-38.597893,-42.512408
L,71,-36.798445,-46.201458
L,72,-35.058005,-49.590358
L,73,-32.934180,-52.351705
L,74,-30.168502,-54.194275
L,75,-26.886062,-55.110105
L,76,-24.134223,-54.795364
L,77,-22.718013,-52.703444
