side,cone_id,x,y
L,729,-0.266731,1.469276
L,39,2.747093,1.498311
L,21,5.483423,1.532901
L,0,9.680405,1.703655
L,22,14.701842,1.871692
L,25,18.666752,1.917579
L,6,21.597446,2.109812
L,34,24.028252,2.233994
L,49,28.236568,2.446075
L,64,30.916807,3.503293
L,60,32.804245,5.665071
L,104,35.719990,7.288167
L,78,40.796452,8.208918
L,106,45.319057,7.302758
L,120,48.932812,5.149264
L,103,51.431835,2.988293
L,105,53.265110,0.997353
L,111,54.659672,-1.193529
L,133,56.167027,-4.793904
L,117,56.812599,-7.998037
L,82,57.154003,-11.758259
L,122,56.364246,-15.446991
L,113,56.043488,-17.489956
L,155,55.334217,-19.281149
L,139,54.496094,-21.456787
L,55,54.057964,-23.989294
L,54,55.172375,-26.010681
L,45,56.994125,-27.562527
L,63,59.467453,-27.656479
L,71,61.524731,-26.722790
L,134,63.056526,-24.770737
L,116,64.855690,-22.397654
L,210,67.156738,-19.361368
L,191,69.817871,-15.723902
L,193,72.770592,-13.123134
L,236,75.033821,-11.324707
L,204,77.250526,-9.416924
L,220,79.859360,-7.639575
L,234,82.347992,-5.634215
L,252,84.694893,-3.989271
L,315,86.716316,-1.535828
L,308,88.918915,2.640912
L,305,91.007225,5.755268
L,412,93.876968,8.887831
L,414,96.223068,10.332847
L,400,98.371704,11.135768
L,294,100.970749,11.039693
L,288,104.773323,10.421795
L,297,106.861748,7.516499
L,318,107.239769,5.154666
L,395,107.372147,3.439941
L,284,107.164124,1.953358
L,406,107.389214,0.146246
L,293,108.545143,-0.884539
L,312,110.356689,-2.540546
L,339,111.437874,-5.134248
L,306,110.646614,-8.616209
L,392,109.286156,-11.033891
L,342,107.208069,-12.939684
L,298,104.913155,-14.003825
L,397,102.270027,-14.171062
L,292,99.825783,-13.350833
L,274,98.048988,-11.734448
L,337,96.537079,-10.683062
L,277,94.820427,-9.829063
L,291,93.412086,-10.197866
L,295,92.267448,-11.341003
L,265,90.404236,-13.409733
L,246,88.346642,-14.787092
L,235,85.344177,-16.739729
L,233,82.664070,-18.504381
L,219,80.195976,-20.150879
L,223,78.081024,-21.951511
L,247,76.923080,-23.901320
L,206,77.422340,-25.937361
L,319,79.170868,-27.092150
L,226,81.509598,-27.379074
L,257,83.852974,-26.518011
L,255,86.396439,-24.542009
L,249,89.306862,-22.197964
L,258,93.734451,-19.099249
L,269,96.235909,-18.448410
L,275,99.156357,-18.220728
L,273,103.585205,-20.145754
L,270,105.354462,-22.265207
L,272,105.719330,-24.808954
L,316,104.071587,-28.161467
L,327,100.816414,-31.202719
L,325,97.222153,-33.642067
L,330,93.346931,-35.361439
L,333,89.797958,-36.098637
L,250,86.390961,-36.632317
L,229,82.545242,-36.846386
L,331,79.574974,-36.910381
L,202,76.209740,-36.915493
L,211,73.984810,-36.994076
L,168,71.294777,-36.899834
L,172,68.637215,-36.959270
L,161,66.063904,-37.357418
L,126,63.541080,-37.725277
L,159,61.119061,-39.211933
L,199,57.929825,-40.289097
L,70,54.849262,-39.805542
L,143,51.709232,-38.258469
L,142,49.206680,-37.259224
L,59,47.025311,-37.262852
L,129,43.922638,-37.758228
L,112,41.041534,-38.093643
L,109,37.239418,-38.730309
L,87,34.374161,-39.138672
L,118,31.577349,-39.400871
L,135,28.484451,-39.626297
L,138,25.561399,-39.923279
L,366,23.091026,-39.395687
L,369,21.233364,-38.249046
L,381,19.697887,-35.198246
L,378,19.890707,-32.320858
L,145,21.489237,-29.892056
L,146,24.886930,-28.193590
L,152,28.672865,-27.751644
L,151,32.288002,-27.035460
L,80,35.432716,-26.017557
L,76,37.932835,-24.933128
L,86,40.007652,-22.614130
L,207,41.448063,-17.740379
L,95,42.122288,-13.237496
L,102,41.660954,-10.532668
L,44,40.769512,-9.031994
L,36,37.604195,-8.118470
L,47,33.587036,-6.988220
L,56,29.657946,-6.030930
L,10,24.459661,-5.357368
L,12,18.955679,-5.311805
L,30,14.987278,-5.540064
L,17,12.127448,-5.634204
L,13,9.088369,-5.681585
L,1,7.139819,-6.692633
L,16,6.515863,-8.226884
L,3,7.384045,-9.754251
L,4,10.029441,-10.649997
L,2,13.112655,-10.372342
L,14,15.622152,-10.360284
L,11,17.317516,-11.324186
L,18,18.601702,-13.601062
L,66,19.488464,-17.463076
L,79,19.561621,-20.197510
L,149,19.286217,-23.360567
L,97,17.797821,-26.362434
L,532,15.692490,-27.436090
L,554,12.951283,-27.563238
L,552,10.897824,-26.661737
L,541,8.995749,-25.929180
L,687,7.456541,-26.768463
L,594,7.038609,-28.421167
L,697,6.319837,-29.943192
L,600,5.077589,-31.791899
L,691,3.338597,-33.239876
L,690,0.949602,-33.605984
L,675,-2.032278,-32.226540
L,695,-3.382297,-29.013403
L,677,-3.343279,-25.223574
L,590,-3.638155,-21.527554
L,676,-3.633429,-18.674618
L,688,-4.345347,-15.768152
L,686,-6.254086,-14.047462
L,689,-8.952191,-12.540228
L,717,-10.806801,-10.268662
L,793,-12.482453,-7.064712
L,791,-12.866989,-3.769035
L,728,-11.743710,-0.511893
L,733,-9.715030,1.215096
L,724,-7.717403,1.372065
L,727,-3.804317,1.230620
R,720,0.035155,-1.693048
R,26,2.521146,-1.420083
R,5,5.553394,-1.546029
R,9,9.717962,-1.516720
R,8,13.279949,-1.344147
R,28,17.197426,-1.218970
R,15,19.791096,-0.978428
R,27,21.971287,-0.829908
R,19,24.049433,-0.757068
R,35,26.260773,-0.576090
R,32,28.605330,-0.725786
R,67,30.049322,-0.346427
R,69,31.502581,-0.004454
R,38,33.162533,0.681652
R,23,34.836803,2.318254
R,92,36.362511,4.153062
R,52,40.496754,4.856015
R,107,44.509129,4.248820
R,75,46.904503,2.883858
R,121,49.733246,0.030856
R,127,51.549644,-2.271027
R,119,53.038639,-5.499261
R,81,53.727394,-9.021882
R,123,53.705982,-12.437476
R,222,53.067139,-15.734322
R,263,52.088665,-18.881790
R,85,50.598923,-21.523827
R,110,50.265610,-24.825386
R,73,52.025421,-26.993742
R,984,54.584160,-30.010124
R,128,56.304955,-30.703356
R,57,59.683086,-30.710808
R,74,63.247547,-29.700907
R,101,65.702248,-27.277494
R,144,67.750465,-23.955101
R,183,69.575966,-21.349350
R,174,71.971031,-18.276274
R,185,74.757500,-15.394720
R,208,77.743050,-13.232924
R,218,80.108444,-11.765944
R,244,82.059082,-10.402213
R,232,83.710243,-9.244043
R,240,85.897400,-7.050565
R,261,88.782692,-3.676414
R,259,91.027901,0.017951
R,280,93.414742,3.730578
R,320,96.058189,6.136001
R,285,98.810616,7.636181
R,299,100.817139,7.142432
R,399,102.753021,6.173174
R,281,103.795113,4.909827
R,402,103.843086,2.449514
R,393,103.354218,0.054494
R,310,103.763023,-1.732288
R,356,105.356293,-3.309101
R,307,107.267044,-4.225050
R,324,107.851601,-6.095311
R,326,107.454834,-8.016780
R,282,106.313339,-9.365474
R,304,104.673645,-10.634076
R,276,102.316338,-10.538270
R,300,99.980125,-8.933137
R,290,97.610199,-7.645664
R,289,95.062866,-6.467637
R,278,92.454704,-6.734827
R,264,90.610764,-8.326081
R,254,88.973007,-10.605548
R,256,86.409279,-12.737966
R,231,83.490845,-14.519324
R,216,80.608780,-16.181814
R,230,78.153519,-17.867214
R,187,75.705132,-19.931881
R,179,73.905495,-22.891151
R,212,73.522072,-25.694641
R,213,75.058647,-28.437199
R,217,78.226028,-30.115589
R,262,81.619690,-30.757214
R,245,85.394608,-29.365610
R,314,88.438995,-27.017908
R,317,91.588249,-24.612806
R,286,94.972115,-22.070263
R,287,98.890701,-21.428699
R,301,101.469269,-23.018562
R,271,101.868294,-25.739632
R,321,99.317596,-28.635849
R,336,96.260803,-30.701065
R,332,92.475922,-32.141056
R,338,88.764420,-33.405468
R,251,85.728096,-33.715534
R,227,82.372276,-34.097198
R,248,79.014069,-34.226238
R,205,75.349464,-33.540028
R,169,72.300980,-33.343647
R,190,70.105469,-33.580128
R,163,67.872269,-33.747440
R,162,65.139351,-33.943253
R,150,61.889565,-34.486542
R,77,59.543449,-35.716557
R,160,57.857697,-36.718006
R,176,55.780197,-36.291271
R,147,52.641651,-35.308495
R,136,49.567711,-34.149326
R,130,47.299061,-33.997921
R,98,44.307556,-34.524120
R,124,40.921680,-34.758030
R,165,37.368015,-35.278122
R,157,33.943012,-35.752323
R,96,31.391920,-36.091019
R,99,29.095129,-36.389278
R,371,26.409327,-36.678772
R,154,23.953163,-35.779133
R,377,23.117819,-34.108158
R,158,23.470869,-32.462574
R,153,25.604811,-31.450663
R,156,29.014904,-30.726871
R,164,32.743626,-30.134209
R,61,37.468445,-28.922338
R,90,40.238338,-27.281597
R,201,42.580536,-24.146587
R,89,44.097118,-20.924128
R,198,44.709793,-18.262747
R,171,45.050629,-15.877924
R,115,45.209114,-13.083546
R,173,44.782730,-9.786824
R,50,43.140995,-7.153029
R,43,40.551044,-5.486406
R,20,37.408508,-4.606870
R,48,34.357224,-4.023526
R,41,30.848537,-3.184942
R,24,27.524818,-2.556098
R,29,21.185537,-2.451272
R,91,19.048401,-2.311187
R,65,17.249290,-2.311958
R,33,15.296968,-2.478008
R,72,12.244731,-2.489986
R,58,9.793067,-2.609851
R,42,7.370240,-3.077749
R,7,5.351919,-3.959234
R,549,3.818241,-5.913845
R,714,3.430445,-7.794731
R,545,3.888068,-9.788444
R,558,5.286644,-12.087822
R,51,7.995081,-13.650793
R,31,10.409516,-13.775711
R,37,13.211083,-13.526963
R,40,14.832543,-13.789949
R,62,16.220804,-15.629799
R,46,16.512815,-17.527098
R,68,16.526751,-19.793137
R,84,15.966690,-22.213720
R,93,15.089397,-24.004629
R,656,13.544511,-24.259882
R,536,11.464498,-23.527231
R,700,9.956676,-23.028767
R,573,7.780325,-22.821592
R,585,5.950495,-23.654882
R,671,4.567430,-25.391117
R,596,3.165477,-27.709473
R,692,1.432235,-28.691832
R,693,-0.045524,-28.149441
R,673,-0.206847,-26.460979
R,672,-0.035679,-24.324129
R,598,-0.219957,-22.148544
R,678,-0.179819,-18.437822
R,694,-0.824147,-15.155586
R,586,-1.617786,-13.402299
R,698,-2.487059,-12.443892
R,587,-4.643099,-10.894524
R,721,-7.435039,-9.710849
R,725,-9.160952,-7.494021
R,792,-9.596283,-5.616112
R,723,-8.814648,-3.056250
R,726,-7.218309,-1.646584
R,730,-3.489752,-1.618401
M,-1,-0.093388,-0.109426
M,-1,2.686394,0.036943
M,-1,5.419650,-0.002462
M,-1,9.758277,0.096330
M,-1,14.752443,0.288107
M,-1,18.804692,0.430231
M,-1,21.697978,0.634067
M,-1,24.149903,0.747552
M,-1,28.136470,0.878308
M,-1,31.578693,1.901938
M,-1,34.227743,4.481382
M,-1,36.041250,5.720615
M,-1,40.646603,6.532466
M,-1,44.914093,5.775789
M,-1,47.918657,4.016561
M,-1,50.264229,1.830615
M,-1,51.941820,-0.046846
M,-1,53.172542,-1.879454
M,-1,54.602833,-5.146583
M,-1,55.230391,-8.307396
M,-1,55.432189,-11.747465
M,-1,54.802184,-15.144304
M,-1,54.437618,-16.990729
M,-1,53.797847,-18.803528
M,-1,53.031926,-20.631199
M,-1,52.710227,-25.083101
M,-1,54.014864,-26.992575
M,-1,56.990659,-29.133694
M,-1,59.875997,-29.098440
M,-1,62.694378,-27.907538
M,-1,64.574980,-25.706846
M,-1,66.252343,-23.258674
M,-1,68.391203,-20.323474
M,-1,71.011950,-16.878579
M,-1,73.764046,-14.258927
M,-1,75.952985,-12.594119
M,-1,78.173540,-10.905213
M,-1,80.869111,-9.083891
M,-1,83.591991,-6.874629
M,-1,85.798236,-4.932758
M,-1,87.945842,-2.283058
M,-1,90.261600,1.777702
M,-1,92.210983,4.742923
M,-1,94.967579,7.511916
M,-1,97.085963,8.749668
M,-1,98.591160,9.385974
M,-1,100.514237,9.184497
M,-1,103.720437,8.318881
M,-1,105.309504,6.236107
M,-1,105.517441,5.032247
M,-1,105.598635,3.405359
M,-1,105.503605,2.201436
M,-1,106.022469,-1.234762
M,-1,107.774678,-2.491799
M,-1,108.811867,-3.382798
M,-1,109.644737,-5.614779
